"REQ ID","TC ID","Title","Est. (phút)","Test Type","Area","Precondition","Procedure / Steps","Expected Results","Priority","Result","Change TC","Author","Remark"
"UC_POS_001","TC_POS_001","Nhập mã vạch sản phẩm hợp lệ vào giỏ hàng","5","Functional","POS Bán Hàng","Sản phẩm mã vạch TC-DQ-001 tồn tại.","Bước 1. Mở phần mềm Đại Nam POS.
Bước 2. Đăng nhập tài khoản Thu ngân (thungan1).
Bước 3. Trên menu bên trái chọn Bán Hàng.
Bước 4. Nhập TC-DQ-001 vào ô Nhập mã vạch và nhấn Enter.","Bước 1. Màn hình đăng nhập xuất hiện.
Bước 2. Đăng nhập thành công.
Bước 3. Giao diện POS hiển thị.
Bước 4. Sản phẩm Vé Đu Quay Khổng Lồ thêm vào giỏ hàng.","High","","","Antigravity",""
"UC_POS_001","TC_POS_002","Nhập sản phẩm có số lượng nhân SL*Mã","5","Functional","POS Bán Hàng","Sản phẩm mã TC-DQ-001 tồn tại.","Bước 1. Mở phần mềm Đại Nam POS.
Bước 2. Đăng nhập tài khoản Thu ngân (thungan1).
Bước 3. Trên menu bên trái chọn Bán Hàng.
Bước 4. Nhập 5*TC-DQ-001 vào ô Nhập mã vạch và nhấn Enter.","Bước 1. Màn hình đăng nhập xuất hiện.
Bước 2. Đăng nhập thành công.
Bước 3. Giao diện POS hiển thị.
Bước 4. Sản phẩm Vé Đu Quay Khổng Lồ thêm vào giỏ hàng với số lượng 5.","High","","","Antigravity",""
"UC_POS_001","TC_POS_003","Thêm sản phẩm bằng cách chọn từ danh mục","5","Functional","POS Bán Hàng","Danh mục có sản phẩm.","Bước 1. Mở phần mềm Đại Nam POS.
Bước 2. Đăng nhập tài khoản Thu ngân (thungan1).
Bước 3. Trên menu bên trái chọn Bán Hàng.
Bước 4. Nhấp chọn hình ảnh sản phẩm Vé Đu Quay trên lưới.","Bước 1. Màn hình đăng nhập xuất hiện.
Bước 2. Đăng nhập thành công.
Bước 3. Giao diện POS hiển thị.
Bước 4. Sản phẩm Vé Đu Quay Khổng Lồ thêm vào giỏ hàng.","High","","","Antigravity",""
"UC_POS_001","TC_POS_004","Tăng số lượng sản phẩm bằng nút dấu cộng","5","Functional","POS Bán Hàng","Giỏ hàng đang có 1 sản phẩm.","Bước 1. Mở phần mềm Đại Nam POS.
Bước 2. Đăng nhập tài khoản Thu ngân (thungan1).
Bước 3. Trên menu bên trái chọn Bán Hàng.
Bước 4. Nhấp chuột vào nút dấu cộng (+) tại dòng sản phẩm.","Bước 1. Màn hình đăng nhập xuất hiện.
Bước 2. Đăng nhập thành công.
Bước 3. Giao diện POS hiển thị.
Bước 4. Số lượng sản phẩm tăng lên thành 2.","Medium","","","Antigravity",""
"UC_POS_001","TC_POS_005","Giảm số lượng sản phẩm bằng nút dấu trừ","5","Functional","POS Bán Hàng","Giỏ hàng đang có 2 sản phẩm.","Bước 1. Mở phần mềm Đại Nam POS.
Bước 2. Đăng nhập tài khoản Thu ngân (thungan1).
Bước 3. Trên menu bên trái chọn Bán Hàng.
Bước 4. Nhấp chuột vào nút dấu trừ (-) tại dòng sản phẩm.","Bước 1. Màn hình đăng nhập xuất hiện.
Bước 2. Đăng nhập thành công.
Bước 3. Giao diện POS hiển thị.
Bước 4. Số lượng sản phẩm giảm xuống còn 1.","Medium","","","Antigravity",""
"UC_POS_001","TC_POS_006","Giảm số lượng sản phẩm về 0 bằng nút trừ","5","Functional","POS Bán Hàng","Giỏ hàng đang có 1 sản phẩm.","Bước 1. Mở phần mềm Đại Nam POS.
Bước 2. Đăng nhập tài khoản Thu ngân (thungan1).
Bước 3. Trên menu bên trái chọn Bán Hàng.
Bước 4. Nhấp chuột vào nút dấu trừ (-) tại dòng sản phẩm.","Bước 1. Màn hình đăng nhập xuất hiện.
Bước 2. Đăng nhập thành công.
Bước 3. Giao diện POS hiển thị.
Bước 4. Dòng sản phẩm tự động bị xóa khỏi giỏ hàng.","Medium","","","Antigravity",""
"UC_POS_001","TC_POS_007","Xóa sản phẩm khỏi giỏ hàng bằng nút X","5","Functional","POS Bán Hàng","Giỏ hàng đang có sản phẩm.","Bước 1. Mở phần mềm Đại Nam POS.
Bước 2. Đăng nhập tài khoản Thu ngân (thungan1).
Bước 3. Trên menu bên trái chọn Bán Hàng.
Bước 4. Nhấp chuột vào nút biểu tượng Xóa (X) ở cuối dòng.","Bước 1. Màn hình đăng nhập xuất hiện.
Bước 2. Đăng nhập thành công.
Bước 3. Giao diện POS hiển thị.
Bước 4. Sản phẩm bị xóa khỏi giỏ hàng.","High","","","Antigravity",""
"UC_POS_001","TC_POS_008","Nhập số lượng trực tiếp trên ô số lượng","5","Functional","POS Bán Hàng","Giỏ hàng đang có sản phẩm.","Bước 1. Mở phần mềm Đại Nam POS.
Bước 2. Đăng nhập tài khoản Thu ngân (thungan1).
Bước 3. Trên menu bên trái chọn Bán Hàng.
Bước 4. Nhấp đúp chuột vào ô số lượng, nhập số 10 và nhấn Enter.","Bước 1. Màn hình đăng nhập xuất hiện.
Bước 2. Đăng nhập thành công.
Bước 3. Giao diện POS hiển thị.
Bước 4. Số lượng cập nhật thành 10, tổng tiền tự tính lại.","High","","","Antigravity",""
"UC_POS_001","TC_POS_009","Nhập số lượng bằng 0 trực tiếp","5","Negative","POS Bán Hàng","Giỏ hàng đang có sản phẩm.","Bước 1. Mở phần mềm Đại Nam POS.
Bước 2. Đăng nhập tài khoản Thu ngân (thungan1).
Bước 3. Trên menu bên trái chọn Bán Hàng.
Bước 4. Nhấp đúp chuột vào ô số lượng, nhập số 0 và nhấn Enter.","Bước 1. Màn hình đăng nhập xuất hiện.
Bước 2. Đăng nhập thành công.
Bước 3. Giao diện POS hiển thị.
Bước 4. Sản phẩm bị xóa khỏi giỏ hàng.","Medium","","","Antigravity",""
"UC_POS_001","TC_POS_010","Nhập số lượng âm khi sửa giỏ hàng","5","Negative","POS Bán Hàng","Giỏ hàng đang có sản phẩm.","Bước 1. Mở phần mềm Đại Nam POS.
Bước 2. Đăng nhập tài khoản Thu ngân (thungan1).
Bước 3. Trên menu bên trái chọn Bán Hàng.
Bước 4. Nhấp đúp chuột vào ô số lượng, nhập số -5 và nhấn Enter.","Bước 1. Màn hình đăng nhập xuất hiện.
Bước 2. Đăng nhập thành công.
Bước 3. Giao diện POS hiển thị.
Bước 4. Hệ thống phải cảnh báo và không cho lưu giá trị âm.","High","Fail","","Antigravity","Lỗi: Hệ thống không chặn và cho phép nhập số lượng âm, tổng tiền thành âm."
