"REQ ID","TC ID","Title","Est. (phút)","Test Type","Area","Precondition","Procedure / Steps","Expected Results","Priority","Result","Change TC","Author","Remark"
"UC_CUST_001","TC_WEB_001","Màn hình Mua vé: Kiểm tra tiêu đề trang","2","UI/UX","2.1 Mua vé trực tuyến","Hệ thống đang chạy bình thường.","Bước 1. Truy cập trang web Đại Nam.
Bước 2. Nhấn vào menu ""Mua vé trực tuyến"".
Bước 3. Quan sát tiêu đề trang.","Bước 1. Trang chủ hiện ra.
Bước 2. Chuyển sang trang mua vé.
Bước 3. Tiêu đề hiển thị chữ ""MUA VÉ TRỰC TUYẾN"" cỡ lớn, căn giữa.","Low","","","Antigravity",""
"UC_CUST_001","TC_WEB_002","Màn hình Mua vé: Kiểm tra banner quảng cáo","2","UI/UX","2.1 Mua vé trực tuyến","Có ít nhất 1 banner được cấu hình.","Bước 1. Truy cập trang Mua vé trực tuyến.
Bước 2. Quan sát vùng phía dưới tiêu đề.","Bước 1. Trang mua vé hiện ra.
Bước 2. Hiển thị banner hình ảnh về các trò chơi tại Đại Nam, hình ảnh sắc nét, không bị vỡ.","Low","","","Antigravity",""
"UC_CUST_001","TC_WEB_003","Màn hình Mua vé: Kiểm tra lịch chọn ngày","2","UI/UX","2.1 Mua vé trực tuyến","Hệ thống đang chạy.","Bước 1. Truy cập trang Mua vé trực tuyến.
Bước 2. Quan sát ô ""Chọn ngày tham quan"".","Bước 1. Trang hiện ra.
Bước 2. Hiển thị ô nhập liệu có icon lịch bên cạnh. Giá trị mặc định là ngày hiện tại.","Medium","","","Antigravity",""
"UC_CUST_001","TC_WEB_004","Chọn ngày tham quan: Kiểm tra popup lịch","2","UI/UX","2.1 Mua vé trực tuyến","Đang ở trang Mua vé.","Bước 1. Nhấn vào icon lịch ở ô Chọn ngày tham quan.","Bước 1. Một bảng lịch hiện ra (DatePicker) cho phép chọn ngày.","Medium","","","Antigravity",""
"UC_CUST_001","TC_WEB_005","Chọn ngày tham quan: Không cho chọn ngày quá khứ","5","Functional","2.1 Mua vé trực tuyến","Hôm nay là ngày 15/05/2026.","Bước 1. Mở bảng lịch chọn ngày.
Bước 2. Cố gắng nhấn vào ngày 14/05/2026 (ngày hôm qua).","Bước 1. Bảng lịch hiện ra.
Bước 2. Ngày 14/05 và các ngày trước đó bị mờ đi (disabled), không thể click chọn được.","High","","","Antigravity",""
"UC_CUST_001","TC_WEB_006","Chọn ngày tham quan: Chọn ngày tương lai hợp lệ","5","Functional","2.1 Mua vé trực tuyến","Hệ thống đang chạy.","Bước 1. Mở bảng lịch.
Bước 2. Chọn 1 ngày trong tuần sau (ví dụ: 22/05/2026).","Bước 1. Lịch hiện ra.
Bước 2. Ngày được chọn hiển thị rõ trong ô nhập liệu dạng DD/MM/YYYY.","Medium","","","Antigravity",""
"UC_CUST_001","TC_WEB_007","Màn hình Mua vé: Kiểm tra danh sách loại vé","2","UI/UX","2.1 Mua vé trực tuyến","Hệ thống đã cấu hình Vé Người Lớn và Vé Trẻ Em.","Bước 1. Truy cập trang Mua vé.
Bước 2. Quan sát vùng danh sách vé.","Bước 1. Trang hiện ra.
Bước 2. Hiển thị danh sách các thẻ (Card) vé gồm: Vé Người Lớn, Vé Trẻ Em kèm giá tiền tương ứng.","High","","","Antigravity",""
"UC_CUST_001","TC_WEB_008","Thẻ vé: Kiểm tra thông tin mô tả vé","2","UI/UX","2.1 Mua vé trực tuyến","Hệ thống đang chạy.","Bước 1. Quan sát nội dung trên thẻ ""Vé Người Lớn"".","Bước 1. Hiển thị đầy đủ: Tên vé, Giá tiền (VNĐ), và mô tả ngắn (ví dụ: ""Dành cho khách trên 1m4"").","Medium","","","Antigravity",""
"UC_CUST_001","TC_WEB_009","Mua vé: Tăng số lượng vé bằng nút +","5","Functional","2.1 Mua vé trực tuyến","Số lượng vé đang bằng 0.","Bước 1. Nhấn nút ""+"" trên thẻ Vé Người Lớn.
Bước 2. Nhấn nút ""+"" thêm 2 lần nữa.","Bước 1. Số lượng tăng lên 1.
Bước 2. Số lượng tăng lên 3. Giá tiền tổng cộng (nếu có hiện) được cập nhật.","High","","","Antigravity",""
"UC_CUST_001","TC_WEB_010","Mua vé: Giảm số lượng vé bằng nút -","5","Functional","2.1 Mua vé trực tuyến","Số lượng vé đang bằng 5.","Bước 1. Nhấn nút ""-"" trên thẻ vé.","Bước 1. Số lượng giảm xuống còn 4.","High","","","Antigravity",""
