TC ID,Title,Est. (mins),Test Type,Area,Procedure / Steps,Expected Results,Priority,RESULT
"POS_101","[TICH HOP] Ban SP dang Lon — qua Kho Hang kiem tra tru dung so luong","5","Integration","POS -> Kho","1. Mo phan mem Quan ly Cong vien Dai Nam tu desktop.
2. Dang nhap bang tai khoan ""thungan01"" / ""123456"".
3. Nhan menu ""Kho Hang"" tren thanh dieu huong. Chon kho ""Kho trung tam"". Ghi nho so luong ton cua ""Nuoc ngot lon"" (VD: 500 lon).
4. Quay lai, nhan menu ""Ban hang"".
5. Double-click vao ""Nuoc ngot lon"", sua SL = 3.
6. Nhan ""Dua du"", nhan F9 thanh toan tien mat, xac nhan ""Co"".
7. Sau khi thanh toan xong, nhan menu ""Kho Hang"" lai.
8. Chon kho ""Kho trung tam"", tim dong ""Nuoc ngot lon"".
9. Quan sat SL Ton Kho cua ""Nuoc ngot lon"".","1. Phan mem khoi dong thanh cong.
2. Dang nhap OK.
3. Kho Hang hien thi, ton = 500 lon (vi du).
4. Man hinh Ban hang mo.
5. Gio: ""Nuoc ngot lon"" SL=3, DVT=""Lon"".
6. Thanh toan thanh cong, hoa don hien thi.
7. Man hinh Kho Hang mo lai.
8. Tim thay dong ""Nuoc ngot lon"".
9. Ton kho = 500 - 3 = 497 lon. Giam dung 3 don vi co ban.","Critical","PENDING"
"POS_102","[TICH HOP] Ban SP dang Thung — qua Kho Hang kiem tra tru dung quy doi","7","Integration","POS -> Kho","1. Mo phan mem Quan ly Cong vien Dai Nam tu desktop.
2. Dang nhap bang tai khoan ""thungan01"" / ""123456"".
3. Nhan menu ""Kho Hang"", chon kho ""Kho trung tam"". Ghi nho ton ""Nuoc ngot lon"" (VD: 497 lon). Biet 1 Thung = 24 lon.
4. Nhan menu ""Ban hang"".
5. Double-click ""Nuoc ngot lon"". Doi DVT sang ""Thung"". Sua SL = 2.
6. Nhan ""Dua du"", nhan F9, xac nhan ""Co"".
7. Nhan menu ""Kho Hang"", chon kho ""Kho trung tam"".
8. Tim dong ""Nuoc ngot lon"".
9. Quan sat SL Ton Kho.","1-2. Dang nhap OK.
3. Ton = 497 lon.
4. Man hinh POS mo.
5. Gio: ""Nuoc ngot lon"", DVT=""Thung"", SL=2.
6. Thanh toan OK.
7-8. Mo Kho, tim SP.
9. Ton kho = 497 - (2 x 24) = 497 - 48 = 449 lon. He thong tru THEO DON VI CO BAN (lon), khong phai tru 2 (so Thung). Day la diem kiem tra quan trong nhat.","Critical","PENDING"
"POS_103","[TICH HOP] Ban Ve — qua Kho Hang xac nhan KHONG tru ton kho","5","Integration","POS -> Kho","1. Mo phan mem.
2. Dang nhap ""thungan01"" / ""123456"".
3. Nhan menu ""Kho Hang"", ghi nho toan bo so lieu ton kho.
4. Nhan menu ""Ban hang"".
5. Loc phan loai ""Ve"". Double-click ""Ve Nguoi lon"", SL=5.
6. Nhan ""Dua du"", F9, xac nhan ""Co"".
7. Nhan menu ""Kho Hang"" lai.
8. So sanh toan bo so lieu ton kho voi buoc 3.","1-2. Dang nhap OK.
3. Ghi nho ton kho.
4-5. Gio: ""Ve Nguoi lon"" SL=5.
6. Thanh toan OK.
7-8. Ton kho KHONG THAY DOI so voi buoc 3. Vi ve la hang khong vat ly, he thong khong tru kho khi ban ve.","High","PENDING"
"POS_104","[TICH HOP] Ban SP co KH VIP — qua form KH kiem tra diem tich luy","7","Integration","POS -> KH","1. Mo phan mem.
2. Dang nhap ""thungan01"" / ""123456"".
3. Nhan menu ""Khach Hang"". Tim KH ""KH001"" (VIP). Ghi nho so diem tich luy hien tai (VD: 50 pts).
4. Nhan menu ""Ban hang"".
5. Nhap ma KH ""KH001"", nhan Tim. Nhan hien ten KH VIP.
6. Double-click ""Ve Nguoi lon"" (200.000d), SL=1.
7. Nhan ""Dua du"", F9, xac nhan ""Co"". Luu y: hop thoai xac nhan hien dong ""Tich them: +X diem"".
8. Nhan menu ""Khach Hang"", tim lai ""KH001"".
9. Quan sat so diem tich luy moi va Don Hang phia duoi.","1-2. OK.
3. KH001 co diem = 50 pts.
4-5. POS: KH VIP gan.
6. Gio: Ve 200.000d.
7. Thanh toan OK. He so nhan VIP = 2.0 -> Diem = floor(200000/100000) * 2 = 4 diem (sau khi tru chiet khau VIP 10%: thuc thu 180.000 -> floor(180000/100000)*2 = 2 diem).
8-9. Diem tich luy moi = 50 + diem_vua_tich. Tab ""Diem"" hien dong moi nhat: Loai = ""TichLuy"", SoDiem = +X pts, Ly Do = ""Tich diem DH-..."". Tab ""Giao dich"" hien dong moi: ""Hoa don - DaThanhToan"".","Critical","PENDING"
"POS_105","[TICH HOP] Ban SP co KH thuong — qua form KH kiem tra diem he so 1.0","7","Integration","POS -> KH","1. Mo phan mem.
2. Dang nhap ""thungan01"" / ""123456"".
3. Nhan menu ""Khach Hang"". Tim KH hang ""Ca nhan"" (VD: ""KH005""). Ghi nho diem tich luy (VD: 10 pts).
4. Nhan menu ""Ban hang"".
5. Tim KH ""KH005"", nhan Tim.
6. Double-click ""Ve Nguoi lon"" (200.000d) — KH thuong khong co chiet khau VIP.
7. Nhan ""Dua du"", F9, xac nhan ""Co"".
8. Nhan menu ""Khach Hang"", tim ""KH005"".
9. Quan sat so diem.","1-2. OK.
3. KH005 diem = 10 pts, Loai = ""CaNhan"".
4-6. POS: KH thuong, khong giam gia VIP. Tong = 200.000d.
7. Thanh toan OK. He so CaNhan = 1.0 -> Diem = floor(200000/100000)*1 = 2 diem.
8-9. Diem moi = 10 + 2 = 12 pts. Tab Diem hien dong moi ""TichLuy"" +2 pts.","High","PENDING"
"POS_106","[TICH HOP] Ban SP khong có KH — KHONG tich diem","5","Integration","POS -> KH","1. Mo phan mem.
2. Dang nhap ""thungan01"" / ""123456"".
3. Nhan menu ""Ban hang"".
4. KHONG tim KH (de ""Khach vang lai"").
5. Double-click ""Ve Nguoi lon"" (200.000d).
6. Nhan ""Dua du"", F9, xac nhan.
7. Quan sat hop thoai xac nhan thanh toan.","1-2. OK.
3-4. POS: Khach vang lai.
5. Gio co Don.
6. Hop thoai xac nhan KHONG hien dong ""Tich them: +X diem"".
7. Thanh toan OK. Khong thay doi diem cua KH nao. Vi khach vang lai khong co ho so de tich diem.","Medium","PENDING"
"POS_107","[TICH HOP] Ban tong > 100K voi KH VVIP — diem tich x3","7","Integration","POS -> KH","1. Mo phan mem.
2. Dang nhap ""thungan01"" / ""123456"".
3. Menu ""Khach Hang"", tim KH VVIP (VD: ""KH002""). Ghi nho diem (VD: 100 pts).
4. Menu ""Ban hang"".
5. Tim KH ""KH002"".
6. Double-click ""Ve Nguoi lon"" x2 (tong goc 400.000d). VVIP giam 25% tren Ve -> thuc thu = 400.000 - 100.000 = 300.000d.
7. Nhan ""Dua du"", F9, xac nhan ""Co"".
8. Menu ""Khach Hang"", tim ""KH002"".
9. Kiem tra diem.","1-2. OK.
3. KH002 VVIP, diem = 100 pts.
4-6. POS: VVIP -25%, tong thuc = 300.000d.
7. Thanh toan OK. He so VVIP = 3.0 -> Diem = floor(300000/100000)*3 = 9 diem.
8-9. Diem moi = 100 + 9 = 109 pts.","High","PENDING"
"POS_108","[TICH HOP] Ban SP don < 100K — KHONG tich diem (duoi nguong)","5","Integration","POS -> KH","1. Mo phan mem.
2. Dang nhap ""thungan01"" / ""123456"".
3. Menu ""Khach Hang"", tim KH ""KH001"" VIP. Ghi nho diem.
4. Menu ""Ban hang"", tim KH ""KH001"".
5. Double-click ""Com phan"" (22.500d).
6. Nhan ""Dua du"", F9, xac nhan.
7. Menu ""Khach Hang"", kiem tra diem KH001.","1-2. OK.
3. Ghi nho diem KH001.
4-5. Gio: Com phan 22.500d.
6. Thanh toan OK. Thuc thu < 100.000d -> floor(22500/100000) = 0 -> khong tich diem.
7. Diem KHONG thay doi so voi buoc 3. He thong chi tich diem khi don dat nguong toi thieu 100.000d.","Medium","PENDING"
"POS_109","[TICH HOP] Ban SP roi qua form KH — kiem tra Tong Chi Tieu tang","5","Integration","POS -> KH","1. Mo phan mem.
2. Dang nhap ""thungan01"" / ""123456"".
3. Menu ""Khach Hang"", tim KH ""KH001"". Ghi nho ""Tong Chi Tieu"" (VD: 5.000.000d).
4. Menu ""Ban hang"", tim KH ""KH001"".
5. Ban 1 Ve 200.000d (VIP giam 10% -> thuc thu 180.000d).
6. Thanh toan thanh cong.
7. Menu ""Khach Hang"", tim KH001.
8. Kiem tra ""Tong Chi Tieu"".","1-2. OK.
3. TongChiTieu = 5.000.000d.
4-6. Thanh toan 180.000d OK.
7-8. TongChiTieu moi = 5.000.000 + 180.000 = 5.180.000d. So lieu tang dung bang so tien thuc thu (khong phai tong goc).","High","PENDING"
"POS_110","[TICH HOP] Ban SP roi qua Tab Giao Dich KH — dong moi xuat hien","5","Integration","POS -> KH","1. Mo phan mem.
2. Dang nhap ""thungan01"" / ""123456"".
3. Menu ""Khach Hang"", tim KH ""KH001"". Ghi nho so dong trong Tab ""Giao dich"" phia duoi.
4. Menu ""Ban hang"", tim KH ""KH001"".
5. Ban 1 SP bat ky, thanh toan tien mat.
6. Menu ""Khach Hang"", tim KH001, mo Tab ""Giao dich"".
7. Kiem tra dong moi nhat.","1-2. OK.
3. Ghi nho so dong.
4-5. Thanh toan OK.
6-7. Tab ""Giao dich"" co them 1 dong moi nhat: Nhom = ""Giao dich thuong"", Loai = ""Hoa don - DaThanhToan"", So Tien = so tien thuc thu, Ma Code = ""DH-..."". Dong nay nam dau tien (sap xep theo thoi gian giam dan).","Medium","PENDING"
