TC ID,Title,Est. (mins),Test Type,Area,Procedure / Steps,Expected Results,Priority,RESULT
POS_001,Mở màn hình POS — kiểm tra bố cục tổng thể,3,UI,POS,"1. Mở phần mềm Quản lý Công viên Đại Nam từ desktop.
2. Tại màn hình đăng nhập, nhập tài khoản ""thungan01"", mật khẩu ""123456"", nhấn nút ""Đăng nhập"".
3. Sau khi vào trang chính, nhấn menu ""Bán hàng"" trên thanh điều hướng bên trái.
4. Quan sát toàn bộ bố cục màn hình hiển thị.","1. Phần mềm khởi động thành công, hiện màn hình đăng nhập với logo và ô nhập liệu.
2. Đăng nhập thành công, chuyển sang trang chính với thanh menu bên trái.
3. Màn hình Bán hàng mở ra chiếm toàn bộ vùng nội dung chính.
4. Bên trái: khu vực danh mục sản phẩm dạng thẻ (Tile) với ô tìm kiếm, các nút phân loại (Tất cả, Vé, Ăn uống, Thuê), ô quét mã vạch. Bên phải: bảng giỏ hàng, tổng tiền lớn, khu vực tra cứu khách hàng, nhãn tên khách (mặc định ""Khách vãng lai""), các nút thanh toán (Tiền mặt, Ví RFID, Chuyển khoản), dropdown chọn Kho, nút Hủy đơn, nút Xóa giỏ hàng.",High,PENDING
POS_002,Kiểm tra danh mục sản phẩm hiển thị dạng thẻ (Tile),2,UI,POS,"1. Mở phần mềm Quản lý Công viên Đại Nam từ desktop.
2. Đăng nhập bằng tài khoản ""thungan01"" / ""123456"".
3. Nhấn menu ""Bán hàng"" trên thanh điều hướng bên trái.
4. Quan sát khu vực hiển thị sản phẩm phía bên trái màn hình.","1. Phần mềm khởi động thành công.
2. Đăng nhập thành công, vào trang chính.
3. Màn hình Bán hàng hiển thị.
4. Danh sách sản phẩm hiển thị dạng thẻ hình chữ nhật (Tile), mỗi thẻ gồm: Tên sản phẩm và Đơn giá (có hậu tố ""đ""). Chỉ hiển thị sản phẩm đang bán, không hiện sản phẩm đã ngừng bán hoặc đã xóa.",Medium,PENDING
POS_003,Kiểm tra giỏ hàng trống khi mới mở,2,UI,POS,"1. Mở phần mềm Quản lý Công viên Đại Nam từ desktop.
2. Đăng nhập bằng tài khoản ""thungan01"" / ""123456"".
3. Nhấn menu ""Bán hàng"" trên thanh điều hướng bên trái.
4. Quan sát bảng giỏ hàng phía bên phải.","1. Phần mềm khởi động thành công.
2. Đăng nhập thành công, vào trang chính.
3. Màn hình Bán hàng hiển thị.
4. Bảng giỏ hàng trống, không có dòng dữ liệu. Nhãn tổng tiền lớn hiển thị ""0 VNĐ"". Tiêu đề giỏ hàng hiển thị ""GIỎ HÀNG (0)"".",Medium,PENDING
POS_004,"Kiểm tra nhãn khách hàng mặc định là ""Khách vãng lai""",1,UI,POS,"1. Mở phần mềm Quản lý Công viên Đại Nam từ desktop.
2. Đăng nhập bằng tài khoản ""thungan01"" / ""123456"".
3. Nhấn menu ""Bán hàng"" trên thanh điều hướng bên trái.
4. Quan sát nhãn tên khách hàng trên khu vực giỏ hàng.","1. Phần mềm khởi động thành công.
2. Đăng nhập thành công, vào trang chính.
3. Màn hình Bán hàng hiển thị.
4. Nhãn tên khách hiển thị ""Khách vãng lai"". Ô nhập mã KH trống, chưa có ai.",Low,PENDING
POS_005,Kiểm tra dropdown Kho xử lý có dữ liệu,2,UI,POS,"1. Mở phần mềm Quản lý Công viên Đại Nam từ desktop.
2. Đăng nhập bằng tài khoản ""thungan01"" / ""123456"".
3. Nhấn menu ""Bán hàng"" trên thanh điều hướng bên trái.
4. Nhấn vào dropdown chọn Kho.
5. Quan sát danh sách kho hiển thị.","1. Phần mềm khởi động thành công.
2. Đăng nhập thành công, vào trang chính.
3. Màn hình Bán hàng hiển thị.
4. Dropdown mở ra, hiển thị danh sách kho hàng đang hoạt động.
5. Có ít nhất ""Kho trung tâm"". Mặc định đã chọn kho đầu tiên.",Medium,PENDING
POS_006,Kiểm tra con trỏ chuột mặc định nằm ở ô quét mã,1,UI,POS,"1. Mở phần mềm Quản lý Công viên Đại Nam từ desktop.
2. Đăng nhập bằng tài khoản ""thungan01"" / ""123456"".
3. Nhấn menu ""Bán hàng"" trên thanh điều hướng bên trái.
4. Quan sát vị trí con trỏ nhập liệu.","1. Phần mềm khởi động thành công.
2. Đăng nhập thành công, vào trang chính.
3. Màn hình Bán hàng hiển thị.
4. Con trỏ nhập liệu tự động nằm trong ô quét mã vạch, sẵn sàng nhận input từ máy quét hoặc bàn phím.",Medium,PENDING
POS_007,Kiểm tra các nút Quick Cash hiển thị đầy đủ,1,UI,POS,"1. Mở phần mềm Quản lý Công viên Đại Nam từ desktop.
2. Đăng nhập bằng tài khoản ""thungan01"" / ""123456"".
3. Nhấn menu ""Bán hàng"" trên thanh điều hướng bên trái.
4. Quan sát khu vực thanh toán tiền mặt bên phải.","1. Phần mềm khởi động thành công.
2. Đăng nhập thành công, vào trang chính.
3. Màn hình Bán hàng hiển thị.
4. Hiển thị đầy đủ các nút: 50K, 100K, 200K, 500K, và ""Đưa đủ"". Có ô nhập tiền khách đưa và nhãn hiển thị tiền thừa.",Low,PENDING
POS_008,"Lọc sản phẩm theo phân loại ""Vé""",2,Logic,POS,"1. Mở phần mềm Quản lý Công viên Đại Nam từ desktop.
2. Đăng nhập bằng tài khoản ""thungan01"" / ""123456"".
3. Nhấn menu ""Bán hàng"" trên thanh điều hướng bên trái.
4. Nhấn nút phân loại ""Vé"" trên thanh danh mục.
5. Quan sát danh sách sản phẩm.","1. Phần mềm khởi động thành công.
2. Đăng nhập thành công, vào trang chính.
3. Màn hình Bán hàng hiển thị với đầy đủ sản phẩm.
4. Nút ""Vé"" nổi bật (đổi màu, chữ trắng), các nút khác trở về bình thường.
5. Danh sách chỉ hiển thị các sản phẩm loại Vé. Đồ ăn uống, đồ thuê không xuất hiện.",High,PENDING
POS_009,"Lọc sản phẩm theo phân loại ""Ăn uống""",2,Logic,POS,"1. Mở phần mềm Quản lý Công viên Đại Nam từ desktop.
2. Đăng nhập bằng tài khoản ""thungan01"" / ""123456"".
3. Nhấn menu ""Bán hàng"".
4. Nhấn nút ""Ăn uống"" trên thanh danh mục.
5. Quan sát danh sách sản phẩm.","1. Phần mềm khởi động thành công.
2. Đăng nhập thành công, vào trang chính.
3. Màn hình Bán hàng hiển thị.
4. Nút ""Ăn uống"" nổi bật.
5. Danh sách chỉ hiển thị các sản phẩm loại Ăn uống. Vé và đồ thuê không xuất hiện.",Medium,PENDING
POS_010,"Lọc sản phẩm theo phân loại ""Thuê""",2,Logic,POS,"1. Mở phần mềm Quản lý Công viên Đại Nam từ desktop.
2. Đăng nhập bằng tài khoản ""thungan01"" / ""123456"".
3. Nhấn menu ""Bán hàng"".
4. Nhấn nút ""Thuê"" trên thanh danh mục.
5. Quan sát danh sách sản phẩm.","1. Phần mềm khởi động thành công.
2. Đăng nhập thành công, vào trang chính.
3. Màn hình Bán hàng hiển thị.
4. Nút ""Thuê"" nổi bật.
5. Danh sách chỉ hiển thị sản phẩm loại Thuê.",Medium,PENDING
