Title,Screen,Pre-condition,Steps,Test Data,Expected Results,Actual results,Priority,Serverity,Date,Owner,TC'ID,Build,System,Assign To,Status,Evident (Hình ảnh lỗi)
[DF_001] Lưu phân quyền khi chưa chọn vai trò,Màn hình Phân Quyền,"Hệ thống đang chạy bình thường, danh sách vai trò có dữ liệu nhưng người dùng chưa chọn.","Bước 1. Mở phần mềm Đại Nam POS.
Bước 2. Đăng nhập tài khoản Quản trị viên (admin).
Bước 3. Vào Hệ thống, chọn Phân quyền.
Bước 4. Không chọn vai trò nào trên lưới bên trái, tích chọn một vài quyền bên phải.
Bước 5. Nhấn nút Lưu thay đổi.",,"Bước 1. Phần mềm khởi động, hiển thị màn hình đăng nhập.
Bước 2. Đăng nhập thành công, vào màn hình chính.
Bước 3. Màn hình phân quyền mở ra.
Bước 4. Các quyền được tích chọn trên cây.
Bước 5. Hệ thống từ chối lưu và hiển thị cảnh báo: 'Vui lòng chọn một vai trò trước khi lưu'.","Bước 1. Phần mềm khởi động, hiển thị màn hình đăng nhập.
Bước 2. Đăng nhập thành công, vào màn hình chính.
Bước 3. Màn hình phân quyền mở ra.
Bước 4. Các quyền được tích chọn trên cây.
Bước 5. Hệ thống không hiển thị thông báo cảnh báo nào, nút Lưu không có tác dụng nhưng không báo lỗi rõ ràng cho người dùng.",High,Medium,24/04/2026,QA Team,TC_PQ_012,Sprint 1,Đại Nam POS,Dev Team,New,
[DF_002] Cảnh báo mất dữ liệu khi chuyển vai trò (Chọn Không),Màn hình Phân Quyền,Hệ thống đang chạy bình thường.,"Bước 1. Mở phần mềm Đại Nam POS.
Bước 2. Đăng nhập tài khoản Quản trị viên (admin).
Bước 3. Vào Hệ thống, chọn Phân quyền.
Bước 4. Nhấn chọn vai trò Quản lý.
Bước 5. Tích thêm quyền bất kỳ.
Bước 6. Nhấn sang vai trò Thu ngân.
Bước 7. Trên hộp thoại cảnh báo, nhấn Không.",,"Bước 1. Phần mềm khởi động.
Bước 2. Đăng nhập thành công.
Bước 3. Màn hình phân quyền mở ra.
Bước 4. Cây hiển thị quyền Quản lý.
Bước 5. Cây thay đổi trạng thái tích.
Bước 6. Hiển thị hộp thoại cảnh báo.
Bước 7. Hệ thống bỏ qua các thay đổi vừa thao tác ở Quản lý, và nạp danh sách quyền của Thu ngân. Lần sau xem lại Quản lý, quyền sẽ không thay đổi.","Bước 1. Phần mềm khởi động.
Bước 2. Đăng nhập thành công.
Bước 3. Màn hình phân quyền mở ra.
Bước 4. Cây hiển thị quyền Quản lý.
Bước 5. Cây thay đổi trạng thái tích.
Bước 6. Hiển thị hộp thoại cảnh báo.
Bước 7. Hệ thống không có cảnh báo mất dữ liệu (Dirty Tracking). Khi chuyển vai trò, các phân quyền chưa lưu bị xóa trắng mà không hỏi xác nhận.",High,Medium,24/04/2026,QA Team,TC_PQ_024,Sprint 1,Đại Nam POS,Dev Team,New,
[DF_003] Cảnh báo mất dữ liệu khi đóng form (Chọn Có),Màn hình Phân Quyền,Hệ thống đang chạy bình thường.,"Bước 1. Mở phần mềm Đại Nam POS.
Bước 2. Đăng nhập tài khoản Quản trị viên (admin).
Bước 3. Vào Hệ thống, chọn Phân quyền.
Bước 4. Nhấn chọn vai trò Quản lý.
Bước 5. Tích thêm 1 quyền bất kỳ.
Bước 6. Nhấn nút [X] ở góc phải trên để đóng form Phân quyền.
Bước 7. Trên hộp thoại cảnh báo 'Dữ liệu chưa được lưu...', nhấn Có.",,"Bước 1. Phần mềm khởi động.
Bước 2. Đăng nhập thành công.
Bước 3. Màn hình phân quyền mở ra.
Bước 4. Cây hiển thị quyền Quản lý.
Bước 5. Cây thay đổi trạng thái tích.
Bước 6. Hiển thị hộp thoại cảnh báo.
Bước 7. Hệ thống lưu thành công và sau đó đóng màn hình Phân quyền.","Bước 1. Phần mềm khởi động.
Bước 2. Đăng nhập thành công.
Bước 3. Màn hình phân quyền mở ra.
Bước 4. Cây hiển thị quyền Quản lý.
Bước 5. Cây thay đổi trạng thái tích.
Bước 6. Hiển thị hộp thoại cảnh báo.
Bước 7. Hệ thống đóng màn hình ngay lập tức mà không kiểm tra trạng thái dữ liệu dở dang chưa lưu.",High,Medium,24/04/2026,QA Team,TC_PQ_026,Sprint 1,Đại Nam POS,Dev Team,New,
[DF_004] Không hiển thị nhóm quyền rỗng,Màn hình Phân Quyền,Trong CSDL có một nhóm quyền nhưng chưa có quyền con nào thuộc nhóm đó.,"Bước 1. Mở phần mềm Đại Nam POS.
Bước 2. Đăng nhập tài khoản Quản trị viên (admin).
Bước 3. Vào Hệ thống, chọn Phân quyền.
Bước 4. Tìm kiếm nhóm quyền rỗng trên cây phân quyền.",,"Bước 1. Phần mềm khởi động.
Bước 2. Đăng nhập thành công.
Bước 3. Màn hình phân quyền mở ra.
Bước 4. Hệ thống tự động lọc bỏ các nhóm quyền rỗng, không hiển thị trên cây để tránh rối mắt.","Bước 1. Phần mềm khởi động.
Bước 2. Đăng nhập thành công.
Bước 3. Màn hình phân quyền mở ra.
Bước 4. Hệ thống vẫn hiển thị các nhóm quyền rỗng (không có quyền con nào) trên cây phân quyền, gây rối giao diện.",High,Medium,24/04/2026,QA Team,TC_PQ_032,Sprint 1,Đại Nam POS,Dev Team,New,
[DF_005] Bỏ trống Tên Combo bị hệ thống chặn lưu,Màn hình Combo,Hệ thống đang chạy bình thường.,"Bước 1. Mở phần mềm Đại Nam POS.
Bước 2. Đăng nhập tài khoản Quản lý (admin).
Bước 3. Vào Hệ thống Danh Mục, chọn Combo sản phẩm.
Bước 4. Nhấn nút Thêm Combo.
Bước 5. Để trống ô Tên Combo.
Bước 6. Nhập vào ô Giá Combo giá trị: 100000.
Bước 7. Nhấn nút Lưu Combo.",,"Bước 1. Phần mềm khởi động, hiển thị màn hình đăng nhập.
Bước 2. Đăng nhập thành công, chuyển sang màn hình chính.
Bước 3. Màn hình danh sách Combo mở ra.
Bước 4. Form chuyển sang thêm mới.
Bước 5. Ghi nhận ô Tên Combo trống.
Bước 6. Ghi nhận ô giá.
Bước 7. Hệ thống hiển thị cảnh báo: 'Tên combo không được để trống'.","Bước 1. Phần mềm khởi động, hiển thị màn hình đăng nhập.
Bước 2. Đăng nhập thành công, chuyển sang màn hình chính.
Bước 3. Màn hình danh sách Combo mở ra.
Bước 4. Form chuyển sang thêm mới.
Bước 5. Ghi nhận ô Tên Combo trống.
Bước 6. Ghi nhận ô giá.
Bước 7. Hệ thống vẫn cho phép lưu Combo với tên bỏ trống mà không hiển thị cảnh báo đỏ hoặc chặn lại.",High,Medium,24/04/2026,QA Team,TC_CB_014,Sprint 1,Đại Nam POS,Dev Team,New,
[DF_006] Label Tổng phân bổ báo lỗi đỏ khi vượt quá 100%,Màn hình Combo,Rổ combo có 2 sản phẩm.,"Bước 1. Mở phần mềm Đại Nam POS.
Bước 2. Đăng nhập tài khoản Quản lý (admin).
Bước 3. Vào Hệ thống Danh Mục, chọn Combo sản phẩm.
Bước 4. Nhập Phân bổ (%) cho SP thứ nhất là 60.
Bước 5. Nhập Phân bổ (%) cho SP thứ hai là 50.
Bước 6. Quan sát dòng chữ 'Phân bổ' ở góc phải dưới.",,"Bước 1. Phần mềm khởi động, hiển thị màn hình đăng nhập.
Bước 2. Đăng nhập thành công, chuyển sang màn hình chính.
Bước 3. Màn hình danh sách Combo mở ra.
Bước 4. Ghi nhận 60%.
Bước 5. Ghi nhận 50%.
Bước 6. Hệ thống hiển thị 'Phân bổ: 110.00% / 100%' với chữ màu đỏ.","Bước 1. Phần mềm khởi động, hiển thị màn hình đăng nhập.
Bước 2. Đăng nhập thành công, chuyển sang màn hình chính.
Bước 3. Màn hình danh sách Combo mở ra.
Bước 4. Ghi nhận 60%.
Bước 5. Ghi nhận 50%.
Bước 6. Label Tổng phân bổ không đổi màu đỏ và vẫn cho phép lưu khi tổng lớn hơn 100%, gây sai lệch logic nghiệp vụ.",High,High,24/04/2026,QA Team,TC_CB_052,Sprint 1,Đại Nam POS,Dev Team,New,
[DF_007] Tự động ép về Bản nháp khi muốn Hoạt động nhưng phân bổ vượt quá 100%,Màn hình Combo,Hệ thống đang chạy bình thường.,"Bước 1. Mở phần mềm Đại Nam POS.
Bước 2. Đăng nhập tài khoản Quản lý (admin).
Bước 3. Vào Hệ thống Danh Mục, chọn Combo sản phẩm.
Bước 4. Nhấn nút Thêm Combo.
Bước 5. Nhập Tên Combo: 'Combo C'.
Bước 6. Nhập Giá Combo: 100000.
Bước 7. Thêm 1 SP vào rổ và nhập phân bổ 110%.
Bước 8. Chọn trạng thái là Hoạt động.
Bước 9. Nhấn nút Lưu Combo.",,"Bước 1. Phần mềm khởi động, hiển thị màn hình đăng nhập.
Bước 2. Đăng nhập thành công, chuyển sang màn hình chính.
Bước 3. Màn hình danh sách Combo mở ra.
Bước 4. Form trống.
Bước 5. Ghi nhận tên.
Bước 6. Ghi nhận giá.
Bước 7. Phân bổ là 110%.
Bước 8. Trạng thái Hoạt động.
Bước 9. Hệ thống tự động chuyển trạng thái về Bản nháp, lưu combo và hiển thị cảnh báo: 'Tổng tỷ lệ phân bổ chưa đạt 100%, combo tự chuyển về trạng thái Bản nháp'.","Bước 1. Phần mềm khởi động, hiển thị màn hình đăng nhập.
Bước 2. Đăng nhập thành công, chuyển sang màn hình chính.
Bước 3. Màn hình danh sách Combo mở ra.
Bước 4. Form trống.
Bước 5. Ghi nhận tên.
Bước 6. Ghi nhận giá.
Bước 7. Phân bổ là 110%.
Bước 8. Trạng thái Hoạt động.
Bước 9. Hệ thống không tự động ép về Bản nháp mà vẫn giữ trạng thái Hoạt động dù tổng phân bổ vượt quá 100%, vi phạm quy trình duyệt Combo.",High,Medium,24/04/2026,QA Team,TC_CB_059,Sprint 1,Đại Nam POS,Dev Team,New,
[DF_008] Lưu combo khi Rổ combo trống hoàn toàn,Màn hình Combo,Hệ thống đang chạy bình thường.,"Bước 1. Mở phần mềm Đại Nam POS.
Bước 2. Đăng nhập tài khoản Quản lý (admin).
Bước 3. Vào Hệ thống Danh Mục, chọn Combo sản phẩm.
Bước 4. Nhấn nút Thêm Combo.
Bước 5. Nhập Tên Combo: 'Combo Rỗng'.
Bước 6. Nhập Giá Combo: 150000.
Bước 7. Không thêm bất kỳ sản phẩm nào vào rổ.
Bước 8. Chọn trạng thái là Bản nháp.
Bước 9. Nhấn nút Lưu Combo.",,"Bước 1. Phần mềm khởi động, hiển thị màn hình đăng nhập.
Bước 2. Đăng nhập thành công, chuyển sang màn hình chính.
Bước 3. Màn hình danh sách Combo mở ra.
Bước 4. Form trống.
Bước 5. Ghi nhận tên.
Bước 6. Ghi nhận giá.
Bước 7. Rổ rỗng.
Bước 8. Trạng thái Bản nháp.
Bước 9. Hệ thống lưu combo thành công với rổ trống.","Bước 1. Phần mềm khởi động, hiển thị màn hình đăng nhập.
Bước 2. Đăng nhập thành công, chuyển sang màn hình chính.
Bước 3. Màn hình danh sách Combo mở ra.
Bước 4. Form trống.
Bước 5. Ghi nhận tên.
Bước 6. Ghi nhận giá.
Bước 7. Rổ rỗng.
Bước 8. Trạng thái Bản nháp.
Bước 9. Hệ thống cho phép lưu Combo thành công ngay cả khi chưa chọn bất kỳ sản phẩm nào vào Rổ combo, dẫn đến dữ liệu rác.",High,Medium,24/04/2026,QA Team,TC_CB_062,Sprint 1,Đại Nam POS,Dev Team,New,
[DF_009] Không thể lưu Rổ trống nếu chọn trạng thái Hoạt động,Màn hình Combo,Hệ thống đang chạy bình thường.,"Bước 1. Mở phần mềm Đại Nam POS.
Bước 2. Đăng nhập tài khoản Quản lý (admin).
Bước 3. Vào Hệ thống Danh Mục, chọn Combo sản phẩm.
Bước 4. Nhấn nút Thêm Combo.
Bước 5. Nhập Tên Combo: 'Combo Rỗng 2'.
Bước 6. Nhập Giá Combo: 150000.
Bước 7. Không thêm bất kỳ sản phẩm nào vào rổ.
Bước 8. Chọn trạng thái là Hoạt động.
Bước 9. Nhấn nút Lưu Combo.",,"Bước 1. Phần mềm khởi động, hiển thị màn hình đăng nhập.
Bước 2. Đăng nhập thành công, chuyển sang màn hình chính.
Bước 3. Màn hình danh sách Combo mở ra.
Bước 4. Form trống.
Bước 5. Ghi nhận tên.
Bước 6. Ghi nhận giá.
Bước 7. Rổ rỗng.
Bước 8. Trạng thái Hoạt động.
Bước 9. Hệ thống ép về Bản nháp, hiển thị cảnh báo: 'Tổng tỷ lệ phân bổ chưa đạt 100%, combo tự chuyển về trạng thái Bản nháp'.","Bước 1. Phần mềm khởi động, hiển thị màn hình đăng nhập.
Bước 2. Đăng nhập thành công, chuyển sang màn hình chính.
Bước 3. Màn hình danh sách Combo mở ra.
Bước 4. Form trống.
Bước 5. Ghi nhận tên.
Bước 6. Ghi nhận giá.
Bước 7. Rổ rỗng.
Bước 8. Trạng thái Hoạt động.
Bước 9. Hệ thống cho phép lưu Combo ở trạng thái Hoạt động dù lưới chi tiết rổ Combo trống hoàn toàn.",High,Medium,24/04/2026,QA Team,TC_CB_063,Sprint 1,Đại Nam POS,Dev Team,New,
[DF_010] Mô tả combo nhập quá nhiều text,Màn hình Combo,Hệ thống đang chạy bình thường.,"Bước 1. Mở phần mềm Đại Nam POS.
Bước 2. Đăng nhập tài khoản Quản lý (admin).
Bước 3. Vào Hệ thống Danh Mục, chọn Combo sản phẩm.
Bước 4. Nhấn Thêm Combo.
Bước 5. Copy một đoạn văn bản dài 5000 ký tự và dán (Ctrl+V) vào ô Mô tả.",,"Bước 1. Phần mềm khởi động, hiển thị màn hình đăng nhập.
Bước 2. Đăng nhập thành công, chuyển sang màn hình chính.
Bước 3. Màn hình danh sách Combo mở ra.
Bước 4. Form chuyển sang chế độ thêm mới.
Bước 5. Hệ thống hiển thị thanh cuộn dọc (scrollbar) trong ô Mô tả, không bị văng lỗi vượt giới hạn (Nvarchar max).","Bước 1. Phần mềm khởi động, hiển thị màn hình đăng nhập.
Bước 2. Đăng nhập thành công, chuyển sang màn hình chính.
Bước 3. Màn hình danh sách Combo mở ra.
Bước 4. Form chuyển sang chế độ thêm mới.
Bước 5. Hệ thống phát sinh lỗi SqlException (String or binary data would be truncated) do không giới hạn độ dài textbox Mô tả ở giao diện.",High,High,24/04/2026,QA Team,TC_CB_079,Sprint 1,Đại Nam POS,Dev Team,New,
