Summary,Issue Type,Priority,Story Points,Sprint,Assignee,Labels,Status,Description
"[DB] Khởi tạo Database SQL Core: Cấu trúc 23 bảng cơ sở ban đầu",Task,Highest,5,"Sprint 1: Foundation_Auth",Nguyên,database,Done,"Tạo các bảng TaiKhoan, VaiTro, NhanVien, KhuVuc, TroChoi, QuyenHan để đảm bảo có Database chạy core."
"[BACKEND] Xây dựng kiến trúc 3 lớp DAL - BUS - GUI",Task,Highest,3,"Sprint 1: Foundation_Auth",Nguyên,architecture,Done,"Xây dựng C# winforms architecture. Thiết lập Connection String động."
"[UI] Màn hình đăng nhập hệ thống và xử lý quên mật khẩu",Story,High,3,"Sprint 1: Foundation_Auth",Tấn,ui,Done,"Người dùng: Nhân viên. Yêu cầu: Có thể đăng nhập bằng Tài khoản/Mật khẩu hoặc vân tay."
"[AUTH] Thuật toán mã hóa mật khẩu MD5 và phân quyền động",Task,Highest,3,"Sprint 1: Foundation_Auth",Nguyên,security,Done,"Mã hóa dữ liệu nhạy cảm. Load danh sách quyền hạn dựa trên Role của tài khoản đăng nhập."
"[CRUD] Màn hình quản lý danh mục Khu Vực (Biển, Thú, Trò chơi)",Story,Medium,3,"Sprint 1: Foundation_Auth",Tấn,frontend,Done,"Tạo form thêm sửa xóa các khu vực. Bắt lỗi Validation tên khu vực không được quá ngắn."
"[CRUD] Màn hình quản lý danh sách Trò Chơi",Story,Medium,3,"Sprint 1: Foundation_Auth",Tấn,frontend,Done,"Quản lý các trò chơi trực thuộc Khu vực tương ứng."
"[CRUD] Quản lý thông tin Hồ sơ Nhân Viên (Role, Status)",Story,High,5,"Sprint 1: Foundation_Auth",Nhi,frontend,Done,"Chức năng quản lý profile nhân sự nội bộ công viên."
"[TEST] Viết Unit Test (TDD) cho module BUS_NhanVien và BUS_KhuVuc",Task,Medium,3,"Sprint 1: Foundation_Auth",Nhi,testing,Done,"Đảm bảo logic kiểm tra tuổi nhân viên > 18 và tên khu vực hợp lệ."
"[DOC] Soạn thảo đặc tả SRS và Test Case cơ bản cho Sprint 1",Task,Low,2,"Sprint 1: Foundation_Auth",Nhi,documentation,Done,"Viết tài liệu User Guide và kịch bản test manual cho màn hình đăng nhập."
"[API] Cài đặt Kestrel Web API endpoints phục vụ Web B2C",Task,Highest,5,"Sprint 2: Pricing_WebB2C",Nguyên,backend,Done,"Bật API chạy song song với Winform để đồng bộ dữ liệu cho khách hàng online."
"[UI] Thiết kế layout giao diện Blazor WebAssembly cho Web đặt vé",Story,High,5,"Sprint 2: Pricing_WebB2C",Tấn,web,Done,"Trang chủ giới thiệu Công viên Đại Nam và Danh sách dịch vụ vé."
"[LOGIC] Thiết lập Bảng giá linh hoạt (Ngày thường vs Lễ/Cuối tuần)",Story,Highest,5,"Sprint 2: Pricing_WebB2C",Nguyên,backend,Done,"Logic ma trận cấu hình giá vé thay đổi tự động dựa trên DateTime hiện tại."
"[CRUD] Quản lý Sản phẩm F&B (Món ăn, Nước uống, Đồ lưu niệm)",Story,Medium,3,"Sprint 2: Pricing_WebB2C",Nhi,frontend,Done,"Đảm bảo sản phẩm có danh mục và đơn giá chuẩn, không được phép âm tiền."
"[CRUD] Quản lý các Combo Khuyến mãi (Gói gia đình, Gói VIP)",Story,High,3,"Sprint 2: Pricing_WebB2C",Nhi,frontend,Done,"Khách hàng mua Combo sẽ rẻ hơn mua vé lẻ 20%."
"[WEB] Xây dựng bộ máy Giỏ Hàng (Shopping Cart) trên Web",Story,Highest,5,"Sprint 2: Pricing_WebB2C",Tấn,web,Done,"Thuật toán thêm/bớt vé, lưu state trên LocalStorage để khách không bị mất khi F5."
"[SEC] Cảnh báo Hacker thay đổi giá giỏ hàng thông qua HTTP Request",Bug,Highest,0,"Sprint 2: Pricing_WebB2C",Nguyên,security,Done,"Sự cố: User chèn giá 0đ vào giỏ hàng. Patch: API phải check lại giá gốc dưới Database."
"[TEST] Kịch bản Automation Test (BDD) cho Web B2C",Task,Medium,3,"Sprint 2: Pricing_WebB2C",Nhi,testing,Done,"Mô phỏng hành vi mua vé qua Playwright hoặc Selenium."
"[UI] Cải tổ giao diện máy POS Thu Ngân chuẩn màn hình Cảm ứng 15.6 inch",Story,Highest,5,"Sprint 3: Winform_CorePOS",Tấn,ui,Done,"Thiết kế lại toàn bộ nút bấm to ra, hỗ trợ vuốt chạm cảm ứng cho Lễ tân bán siêu tốc."
