"REQ ID","TC ID","Title","Est. (phút)","Test Type","Area","Precondition","Procedure / Steps","Expected Results","Priority","Result","Change TC","Author","Remark"
"UC_CB_001","TC_CB_001","Mở màn hình danh sách Combo thành công","5","Functional","1.1 Danh sách Combo","Hệ thống đang chạy bình thường, chưa có dữ liệu đặc biệt.","Bước 1. Mở phần mềm Đại Nam POS.
Bước 2. Đăng nhập tài khoản Quản lý (admin).
Bước 3. Vào Hệ thống Danh Mục, chọn Combo sản phẩm.
Bước 4. Quan sát bố cục màn hình.","Bước 1. Phần mềm khởi động, hiển thị màn hình đăng nhập.
Bước 2. Đăng nhập thành công, chuyển sang màn hình chính.
Bước 3. Màn hình danh sách Combo mở ra.
Bước 4. Màn hình hiển thị Split View: lưới bên trái (danh sách combo), panel bên phải (chi tiết combo, kho SP và rổ combo).","High","","","Bùi Trí Nguyên",""
"UC_CB_001","TC_CB_002","Thanh công cụ hiển thị đủ 2 nút mặc định","5","UI/UX","1.1 Danh sách Combo","Hệ thống đang chạy bình thường.","Bước 1. Mở phần mềm Đại Nam POS.
Bước 2. Đăng nhập tài khoản Quản lý (admin).
Bước 3. Vào Hệ thống Danh Mục, chọn Combo sản phẩm.
Bước 4. Quan sát thanh tiêu đề góc trên bên trái.","Bước 1. Phần mềm khởi động, hiển thị màn hình đăng nhập.
Bước 2. Đăng nhập thành công, chuyển sang màn hình chính.
Bước 3. Màn hình danh sách Combo mở ra.
Bước 4. Hiển thị dòng chữ 'Quản lý Combo sản phẩm' và 2 nút: Thêm Combo, Làm mới.","High","","","Bùi Trí Nguyên",""
"UC_CB_001","TC_CB_003","Lưới hiển thị đúng 3 cột tiêu chuẩn","5","UI/UX","1.1 Danh sách Combo","Hệ thống có ít nhất 1 combo.","Bước 1. Mở phần mềm Đại Nam POS.
Bước 2. Đăng nhập tài khoản Quản lý (admin).
Bước 3. Vào Hệ thống Danh Mục, chọn Combo sản phẩm.
Bước 4. Quan sát các cột trên lưới danh sách.","Bước 1. Phần mềm khởi động, hiển thị màn hình đăng nhập.
Bước 2. Đăng nhập thành công, chuyển sang màn hình chính.
Bước 3. Màn hình danh sách Combo mở ra.
Bước 4. Lưới hiển thị đúng 3 cột: Mã, Tên Combo, Trạng thái.","Medium","","","Bùi Trí Nguyên",""
"UC_CB_001","TC_CB_004","Màu chữ trạng thái Hoạt động","5","UI/UX","1.1 Danh sách Combo","Trong hệ thống đã có combo trạng thái Hoạt động.","Bước 1. Mở phần mềm Đại Nam POS.
Bước 2. Đăng nhập tài khoản Quản lý (admin).
Bước 3. Vào Hệ thống Danh Mục, chọn Combo sản phẩm.
Bước 4. Quan sát màu chữ tại cột Trạng thái của combo đang Hoạt động.","Bước 1. Phần mềm khởi động, hiển thị màn hình đăng nhập.
Bước 2. Đăng nhập thành công, chuyển sang màn hình chính.
Bước 3. Màn hình danh sách Combo mở ra.
Bước 4. Chữ 'Hoạt động' hiển thị màu xanh lá.","Medium","","","Bùi Trí Nguyên",""
"UC_CB_001","TC_CB_005","Màu chữ trạng thái Bản nháp","5","UI/UX","1.1 Danh sách Combo","Trong hệ thống đã có combo trạng thái Bản nháp.","Bước 1. Mở phần mềm Đại Nam POS.
Bước 2. Đăng nhập tài khoản Quản lý (admin).
Bước 3. Vào Hệ thống Danh Mục, chọn Combo sản phẩm.
Bước 4. Quan sát màu chữ tại cột Trạng thái của combo Bản nháp.","Bước 1. Phần mềm khởi động, hiển thị màn hình đăng nhập.
Bước 2. Đăng nhập thành công, chuyển sang màn hình chính.
Bước 3. Màn hình danh sách Combo mở ra.
Bước 4. Chữ 'Bản nháp' hiển thị màu vàng đậm.","Medium","","","Bùi Trí Nguyên",""
"UC_CB_001","TC_CB_006","Màu chữ trạng thái Ngưng áp dụng","5","UI/UX","1.1 Danh sách Combo","Trong hệ thống đã có combo trạng thái Ngưng áp dụng.","Bước 1. Mở phần mềm Đại Nam POS.
Bước 2. Đăng nhập tài khoản Quản lý (admin).
Bước 3. Vào Hệ thống Danh Mục, chọn Combo sản phẩm.
Bước 4. Quan sát màu chữ tại cột Trạng thái của combo Ngưng áp dụng.","Bước 1. Phần mềm khởi động, hiển thị màn hình đăng nhập.
Bước 2. Đăng nhập thành công, chuyển sang màn hình chính.
Bước 3. Màn hình danh sách Combo mở ra.
Bước 4. Chữ 'Ngưng áp dụng' hiển thị màu đỏ.","Medium","","","Bùi Trí Nguyên",""
"UC_CB_001","TC_CB_007","Thanh trạng thái dưới lưới hiển thị đúng tổng số lượng","5","Functional","1.1 Danh sách Combo","Hệ thống có đúng 5 combo.","Bước 1. Mở phần mềm Đại Nam POS.
Bước 2. Đăng nhập tài khoản Quản lý (admin).
Bước 3. Vào Hệ thống Danh Mục, chọn Combo sản phẩm.
Bước 4. Quan sát thanh trạng thái ở góc trái dưới cùng của lưới danh sách.","Bước 1. Phần mềm khởi động, hiển thị màn hình đăng nhập.
Bước 2. Đăng nhập thành công, chuyển sang màn hình chính.
Bước 3. Màn hình danh sách Combo mở ra.
Bước 4. Hệ thống hiển thị dòng chữ 'Tổng 5'.","Medium","","","Bùi Trí Nguyên",""
"UC_CB_001","TC_CB_008","Nút Làm mới tải lại dữ liệu danh sách","5","Functional","1.1 Danh sách Combo","Hệ thống đang hiển thị danh sách combo.","Bước 1. Mở phần mềm Đại Nam POS.
Bước 2. Đăng nhập tài khoản Quản lý (admin).
Bước 3. Vào Hệ thống Danh Mục, chọn Combo sản phẩm.
Bước 4. Nhấn nút Làm mới trên thanh công cụ.","Bước 1. Phần mềm khởi động, hiển thị màn hình đăng nhập.
Bước 2. Đăng nhập thành công, chuyển sang màn hình chính.
Bước 3. Màn hình danh sách Combo mở ra.
Bước 4. Lưới danh sách chớp nhẹ, dữ liệu được tải lại mới nhất từ cơ sở dữ liệu.","Medium","","","Bùi Trí Nguyên",""
"UC_CB_001","TC_CB_009","Nhấp chọn dòng nạp đúng dữ liệu sang panel chi tiết","5","Functional","1.1 Danh sách Combo","Trong hệ thống có combo tên 'Combo Gia Đình'.","Bước 1. Mở phần mềm Đại Nam POS.
Bước 2. Đăng nhập tài khoản Quản lý (admin).
Bước 3. Vào Hệ thống Danh Mục, chọn Combo sản phẩm.
Bước 4. Nhấp chuột chọn dòng 'Combo Gia Đình' trên lưới danh sách.","Bước 1. Phần mềm khởi động, hiển thị màn hình đăng nhập.
Bước 2. Đăng nhập thành công, chuyển sang màn hình chính.
Bước 3. Màn hình danh sách Combo mở ra.
Bước 4. Toàn bộ thông tin của combo (Mã, Tên, Giá, Trạng thái, Mô tả) và Rổ combo nạp chính xác sang panel bên phải.","High","","","Bùi Trí Nguyên",""
"UC_CB_001","TC_CB_010","Thanh Splitter cho phép kéo giãn linh hoạt","5","UI/UX","1.1 Danh sách Combo","Hệ thống đang chạy bình thường.","Bước 1. Mở phần mềm Đại Nam POS.
Bước 2. Đăng nhập tài khoản Quản lý (admin).
Bước 3. Vào Hệ thống Danh Mục, chọn Combo sản phẩm.
Bước 4. Nhấn giữ và kéo thanh chia (splitter) ở giữa lưới trái và panel phải.
Bước 5. Thả chuột ra.","Bước 1. Phần mềm khởi động, hiển thị màn hình đăng nhập.
Bước 2. Đăng nhập thành công, chuyển sang màn hình chính.
Bước 3. Màn hình danh sách Combo mở ra.
Bước 4. Chiều rộng của lưới và panel thay đổi linh hoạt theo chuột.
Bước 5. Giao diện không bị vỡ bố cục.","Low","","","Bùi Trí Nguyên",""
