REQ ID,TC ID,Tiêu đề kiểm thử,Thời gian (phút),Loại kiểm thử,Phân vùng,Điều kiện tiên quyết,Các bước thực hiện,Kết quả mong đợi,Mức độ ưu tiên,Kết quả,Thay đổi,Người viết,Ghi chú
CN18,TC_BC_001,Mở màn hình Báo cáo thành công,5,Functional,Báo cáo doanh thu,Hệ thống đang chạy bình thường.,"Bước 1. Mở phần mềm Quản lý Đại Nam.
Bước 2. Đăng nhập tài khoản Quản lý (tên đăng nhập: admin).
Bước 3. Trên menu chính, chọn mục Báo cáo.
Bước 4. Quan sát giao diện hiển thị.","Bước 1. Phần mềm khởi động, hiển thị màn hình đăng nhập.
Bước 2. Đăng nhập thành công, vào màn hình chính.
Bước 3. Hệ thống mở màn hình Báo cáo doanh thu.
Bước 4. Giao diện hiển thị đầy đủ các biểu đồ, bảng Pivot và Grid chi tiết.",High,,,Antigravity,
CN18,TC_BC_002,Ngày mặc định hiển thị đúng,5,UI/UX,Báo cáo doanh thu,Hệ thống đang chạy bình thường.,"Bước 1. Mở phần mềm Quản lý Đại Nam.
Bước 2. Đăng nhập tài khoản Quản lý (tên đăng nhập: admin).
Bước 3. Trên menu chính, chọn mục Báo cáo.
Bước 4. Quan sát ô Từ ngày và Đến ngày.","Bước 1. Phần mềm khởi động, hiển thị màn hình đăng nhập.
Bước 2. Đăng nhập thành công, vào màn hình chính.
Bước 3. Hệ thống mở màn hình Báo cáo doanh thu.
Bước 4. Ô Đến ngày hiển thị ngày hiện tại, ô Từ ngày hiển thị ngày cách đây 30 ngày.",High,,,Antigravity,
CN18,TC_BC_003,Loại biểu đồ mặc định là Cột,5,UI/UX,Báo cáo doanh thu,Hệ thống đang chạy bình thường.,"Bước 1. Mở phần mềm Quản lý Đại Nam.
Bước 2. Đăng nhập tài khoản Quản lý (tên đăng nhập: admin).
Bước 3. Trên menu chính, chọn mục Báo cáo.
Bước 4. Quan sát ComboBox Loại biểu đồ.","Bước 1. Phần mềm khởi động, hiển thị màn hình đăng nhập.
Bước 2. Đăng nhập thành công, vào màn hình chính.
Bước 3. Hệ thống mở màn hình Báo cáo doanh thu.
Bước 4. ComboBox hiển thị giá trị mặc định là Biểu đồ cột (Bar).",High,,,Antigravity,
CN18,TC_BC_004,Tự động làm mới dữ liệu sau 30 giây,5,Functional,Báo cáo doanh thu,Hệ thống đang chạy bình thường.,"Bước 1. Mở phần mềm Quản lý Đại Nam.
Bước 2. Đăng nhập tài khoản Quản lý (tên đăng nhập: admin).
Bước 3. Trên menu chính, chọn mục Báo cáo.
Bước 4. Giữ nguyên màn hình không thao tác trong 35 giây.
Bước 5. Quan sát dữ liệu trên biểu đồ.","Bước 1. Phần mềm khởi động, hiển thị màn hình đăng nhập.
Bước 2. Đăng nhập thành công, vào màn hình chính.
Bước 3. Hệ thống mở màn hình Báo cáo doanh thu.
Bước 4. Thời gian trôi qua.
Bước 5. Dữ liệu tự động cập nhật (biểu đồ vẽ lại).",High,,,Antigravity,
CN18,TC_BC_005,Thay đổi kích thước form tự động căn chỉnh Splitters,5,UI/UX,Báo cáo doanh thu,Hệ thống đang chạy bình thường.,"Bước 1. Mở phần mềm Quản lý Đại Nam.
Bước 2. Đăng nhập tài khoản Quản lý (tên đăng nhập: admin).
Bước 3. Trên menu chính, chọn mục Báo cáo.
Bước 4. Kéo giãn kích thước cửa sổ form.
Bước 5. Quan sát các vùng biểu đồ.","Bước 1. Phần mềm khởi động, hiển thị màn hình đăng nhập.
Bước 2. Đăng nhập thành công, vào màn hình chính.
Bước 3. Hệ thống mở màn hình Báo cáo doanh thu.
Bước 4. Form thay đổi kích thước.
Bước 5. Các vùng Splitter tự động co giãn theo tỷ lệ phù hợp.",High,,,Antigravity,
CN18,TC_BC_006,Lọc dữ liệu theo khoảng ngày hợp lệ,5,Functional,Báo cáo doanh thu,Hệ thống đang chạy bình thường.,"Bước 1. Mở phần mềm Quản lý Đại Nam.
Bước 2. Đăng nhập tài khoản Quản lý (tên đăng nhập: admin).
Bước 3. Trên menu chính, chọn mục Báo cáo.
Bước 4. Tại ô Từ ngày, nhập giá trị: 01/04/2026.
Bước 5. Tại ô Đến ngày, nhập giá trị: 20/04/2026.
Bước 6. Nhấn nút Lọc.","Bước 1. Phần mềm khởi động, hiển thị màn hình đăng nhập.
Bước 2. Đăng nhập thành công, vào màn hình chính.
Bước 3. Hệ thống mở màn hình Báo cáo doanh thu.
Bước 4. Ô Từ ngày nhận giá trị.
Bước 5. Ô Đến ngày nhận giá trị.
Bước 6. Dữ liệu được lọc và hiển thị đúng theo khoảng ngày đã chọn.",High,,,Antigravity,
CN18,TC_BC_007,Lọc dữ liệu không có đơn hàng,5,Functional,Báo cáo doanh thu,Hệ thống đang chạy bình thường.,"Bước 1. Mở phần mềm Quản lý Đại Nam.
Bước 2. Đăng nhập tài khoản Quản lý (tên đăng nhập: admin).
Bước 3. Trên menu chính, chọn mục Báo cáo.
Bước 4. Tại ô Từ ngày, nhập giá trị: 01/01/2020.
Bước 5. Tại ô Đến ngày, nhập giá trị: 02/01/2020.
Bước 6. Nhấn nút Lọc.","Bước 1. Phần mềm khởi động, hiển thị màn hình đăng nhập.
Bước 2. Đăng nhập thành công, vào màn hình chính.
Bước 3. Hệ thống mở màn hình Báo cáo doanh thu.
Bước 4. Ô Từ ngày nhận giá trị.
Bước 5. Ô Đến ngày nhận giá trị.
Bước 6. Hệ thống không có dữ liệu, tự động chuyển sang chế độ hiển thị dữ liệu Demo.",High,,,Antigravity,
CN18,TC_BC_008,Dữ liệu Demo tự động hiển thị khi không có dữ liệu thật,5,Functional,Báo cáo doanh thu,Hệ thống đang chạy bình thường.,"Bước 1. Mở phần mềm Quản lý Đại Nam.
Bước 2. Đăng nhập tài khoản Quản lý (tên đăng nhập: admin).
Bước 3. Trên menu chính, chọn mục Báo cáo.
Bước 4. Kiểm tra trạng thái cơ sở dữ liệu trống.
Bước 5. Quan sát biểu đồ Doanh thu.","Bước 1. Phần mềm khởi động, hiển thị màn hình đăng nhập.
Bước 2. Đăng nhập thành công, vào màn hình chính.
Bước 3. Hệ thống mở màn hình Báo cáo doanh thu.
Bước 4. Không có dữ liệu đơn hàng thật.
Bước 5. Biểu đồ vẫn hiển thị dữ liệu Demo (do hàm SeedDemoData tạo ra).",High,,,Antigravity,
CN18,TC_BC_009,Loại bỏ đơn hàng trạng thái Hủy khi báo cáo,5,Functional,Báo cáo doanh thu,Hệ thống đang chạy bình thường.,"Bước 1. Mở phần mềm Quản lý Đại Nam.
Bước 2. Đăng nhập tài khoản Quản lý (tên đăng nhập: admin).
Bước 3. Trên menu chính, chọn mục Báo cáo.
Bước 4. Tạo một đơn hàng có trạng thái Hủy.
Bước 5. Nhấn nút Lọc báo cáo.
Bước 6. Quan sát doanh thu tổng.","Bước 1. Phần mềm khởi động, hiển thị màn hình đăng nhập.
Bước 2. Đăng nhập thành công, vào màn hình chính.
Bước 3. Hệ thống mở màn hình Báo cáo doanh thu.
Bước 4. Đơn hàng Hủy tồn tại.
Bước 5. Hệ thống nạp lại dữ liệu.
Bước 6. Doanh thu của đơn hàng Hủy không được cộng vào tổng doanh thu.",High,,,Antigravity,
CN18,TC_BC_010,Biểu đồ Cột hiển thị đúng dữ liệu ngày,5,Functional,Báo cáo doanh thu,Hệ thống đang chạy bình thường.,"Bước 1. Mở phần mềm Quản lý Đại Nam.
Bước 2. Đăng nhập tài khoản Quản lý (tên đăng nhập: admin).
Bước 3. Trên menu chính, chọn mục Báo cáo.
Bước 4. Quan sát các điểm dữ liệu trên Biểu đồ cột.","Bước 1. Phần mềm khởi động, hiển thị màn hình đăng nhập.
Bước 2. Đăng nhập thành công, vào màn hình chính.
Bước 3. Hệ thống mở màn hình Báo cáo doanh thu.
Bước 4. Mỗi cột đại diện cho tổng doanh thu của một ngày, nhãn ngày hiển thị định dạng dd/MM.",High,,,Antigravity,
