REQ ID,TC ID,Tiêu đề kiểm thử,Thời gian (phút),Loại kiểm thử,Phân vùng,Điều kiện tiên quyết,Các bước thực hiện,Kết quả mong đợi,Mức độ ưu tiên,Kết quả,Thay đổi,Người viết,Ghi chú
CN18_HQ,TC_HQ_001,Khách sử dụng mini-bar tự động trừ kho khi thanh toán,10,Functional,Hồi quy Kho - Lưu trú,Hệ thống đang chạy bình thường.,"Bước 1. Mở phần mềm Quản lý Đại Nam.
Bước 2. Đăng nhập tài khoản Quản lý (tên đăng nhập: admin).
Bước 3. Trên menu chính, chọn thẻ Lưu trú.
Bước 4. Tại màn hình Sơ đồ phòng, chọn phòng 101 đang có khách.
Bước 5. Nhấn nút Thanh toán.
Bước 6. Nhập vào dịch vụ Mini-bar: 2 lon Coca Cola.
Bước 7. Nhấn Hoàn tất thanh toán.","Bước 1. Phần mềm khởi động, hiển thị màn hình đăng nhập.
Bước 2. Đăng nhập thành công, vào màn hình chính.
Bước 3. Hệ thống mở phân hệ Lưu trú.
Bước 4. Màn hình thanh toán hiển thị.
Bước 5. Thông tin dịch vụ được ghi nhận.
Bước 6. Hóa đơn được in.
Bước 7. Hệ thống tự động trừ tồn kho của 2 lon Coca Cola tại Kho Khách sạn.",High,,,Antigravity,
CN18_HQ,TC_HQ_002,Khách thuê đồ cập nhật trạng thái tồn kho,10,Functional,Hồi quy Kho - Lưu trú,Hệ thống đang chạy bình thường.,"Bước 1. Mở phần mềm Quản lý Đại Nam.
Bước 2. Đăng nhập tài khoản Quản lý (tên đăng nhập: admin).
Bước 3. Trên menu chính, chọn thẻ Lưu trú.
Bước 4. Tại màn hình Sơ đồ phòng, chọn phòng 102.
Bước 5. Chọn mục Thêm dịch vụ thuê đồ.
Bước 6. Chọn sản phẩm: Xe đạp địa hình, số lượng: 1.
Bước 7. Nhấn Xác nhận.","Bước 1. Phần mềm khởi động, hiển thị màn hình đăng nhập.
Bước 2. Đăng nhập thành công, vào màn hình chính.
Bước 3. Hệ thống mở phân hệ Lưu trú.
Bước 4. Màn hình thêm dịch vụ hiển thị.
Bước 5. Sản phẩm được chọn.
Bước 6. Ghi nhận thành công.
Bước 7. Tồn kho khả dụng của Xe đạp giảm đi 1.",High,,,Antigravity,
CN18_HQ,TC_HQ_003,Trả đồ thuê hoàn kho và ghi nhận doanh thu,10,Functional,Hồi quy Kho - Lưu trú,Hệ thống đang chạy bình thường.,"Bước 1. Mở phần mềm Quản lý Đại Nam.
Bước 2. Đăng nhập tài khoản Quản lý (tên đăng nhập: admin).
Bước 3. Trên menu chính, chọn thẻ Lưu trú.
Bước 4. Tại màn hình Sơ đồ phòng, chọn phòng 102 đang thuê đồ.
Bước 5. Chọn mục Trả đồ thuê.
Bước 6. Kiểm tra tình trạng đồ: Bình thường.
Bước 7. Nhấn Xác nhận trả đồ.","Bước 1. Phần mềm khởi động, hiển thị màn hình đăng nhập.
Bước 2. Đăng nhập thành công, vào màn hình chính.
Bước 3. Hệ thống mở phân hệ Lưu trú.
Bước 4. Màn hình trả đồ hiển thị.
Bước 5. Ghi nhận trả đồ thành công.
Bước 6. Tính toán chi phí thuê.
Bước 7. Tồn kho của Xe đạp địa hình tăng lại 1, doanh thu thuê đồ được ghi nhận.",High,,,Antigravity,
CN18_HQ,TC_HQ_004,Xuất kho đồ tiêu hao cho buồng phòng,10,Functional,Hồi quy Kho - Lưu trú,Hệ thống đang chạy bình thường.,"Bước 1. Mở phần mềm Quản lý Đại Nam.
Bước 2. Đăng nhập tài khoản Quản lý (tên đăng nhập: admin).
Bước 3. Trên menu chính, chọn thẻ Quản lý kho.
Bước 4. Chọn Phiếu xuất kho.
Bước 5. Chọn mục đích: Cấp phát buồng phòng.
Bước 6. Nhập sản phẩm: Khăn tắm, số lượng: 50.
Bước 7. Nhấn Lưu phiếu.","Bước 1. Phần mềm khởi động, hiển thị màn hình đăng nhập.
Bước 2. Đăng nhập thành công, vào màn hình chính.
Bước 3. Hệ thống mở phân hệ Kho.
Bước 4. Màn hình tạo phiếu xuất kho hiển thị.
Bước 5. Mục đích được ghi nhận.
Bước 6. Sản phẩm được nạp vào danh sách.
Bước 7. Tồn kho Khăn tắm giảm 50, không phát sinh doanh thu trực tiếp.",High,,,Antigravity,
CN18_HQ,TC_HQ_005,Khách làm hỏng đồ tính tiền đền bù và trừ kho,10,Functional,Hồi quy Kho - Lưu trú,Hệ thống đang chạy bình thường.,"Bước 1. Mở phần mềm Quản lý Đại Nam.
Bước 2. Đăng nhập tài khoản Quản lý (tên đăng nhập: admin).
Bước 3. Trên menu chính, chọn thẻ Lưu trú.
Bước 4. Tại màn hình Thanh toán phòng 103.
Bước 5. Chọn mục Khấu trừ/Đền bù tài sản.
Bước 6. Chọn sản phẩm: Ly thủy tinh, số lượng: 1.
Bước 7. Nhấn Hoàn tất.","Bước 1. Phần mềm khởi động, hiển thị màn hình đăng nhập.
Bước 2. Đăng nhập thành công, vào màn hình chính.
Bước 3. Hệ thống mở phân hệ Lưu trú.
Bước 4. Màn hình khấu trừ hiển thị.
Bước 5. Sản phẩm được chọn.
Bước 6. Tính tiền đền bù vào hóa đơn phòng.
Bước 7. Hệ thống trừ 1 Ly thủy tinh khỏi kho khách sạn.",High,,,Antigravity,
CN18_HQ,TC_HQ_006,Kiểm kho buồng phòng phát hiện chênh lệch,10,Functional,Hồi quy Kho - Lưu trú,Hệ thống đang chạy bình thường.,"Bước 1. Mở phần mềm Quản lý Đại Nam.
Bước 2. Đăng nhập tài khoản Quản lý (tên đăng nhập: admin).
Bước 3. Trên menu chính, chọn thẻ Quản lý kho.
Bước 4. Chọn màn hình Kiểm kho.
Bước 5. Tạo phiếu kiểm kho buồng phòng.
Bước 6. Nhập số lượng thực tế sản phẩm Nước suối: 10 (tồn hệ thống là 12).
Bước 7. Nhấn Cân bằng kho.","Bước 1. Phần mềm khởi động, hiển thị màn hình đăng nhập.
Bước 2. Đăng nhập thành công, vào màn hình chính.
Bước 3. Hệ thống mở phân hệ Kho.
Bước 4. Màn hình kiểm kho hiển thị.
Bước 5. Phiếu kiểm kho ghi nhận chênh lệch.
Bước 6. Dữ liệu chênh lệch được lưu.
Bước 7. Hệ thống trừ 2 sản phẩm Nước suối và tạo phiếu hao hụt.",High,,,Antigravity,
CN18_HQ,TC_HQ_007,Chuyển kho nội bộ từ Kho tổng sang Kho khách sạn,10,Functional,Hồi quy Kho - Lưu trú,Hệ thống đang chạy bình thường.,"Bước 1. Mở phần mềm Quản lý Đại Nam.
Bước 2. Đăng nhập tài khoản Quản lý (tên đăng nhập: admin).
Bước 3. Trên menu chính, chọn thẻ Quản lý kho.
Bước 4. Tạo Phiếu chuyển kho.
Bước 5. Chọn Kho xuất: Kho tổng, Kho nhập: Kho khách sạn.
Bước 6. Nhập sản phẩm: Bia Heineken, số lượng: 100.
Bước 7. Nhấn Xác nhận chuyển.","Bước 1. Phần mềm khởi động, hiển thị màn hình đăng nhập.
Bước 2. Đăng nhập thành công, vào màn hình chính.
Bước 3. Hệ thống mở phân hệ Kho.
Bước 4. Màn hình chuyển kho hiển thị.
Bước 5. Địa điểm kho được ghi nhận.
Bước 6. Sản phẩm được chọn.
Bước 7. Kho tổng giảm 100, Kho khách sạn tăng 100 lon bia.",High,,,Antigravity,
CN18_HQ,TC_HQ_008,Khách đổi phòng cập nhật dịch vụ mini-bar,10,Functional,Hồi quy Kho - Lưu trú,Hệ thống đang chạy bình thường.,"Bước 1. Mở phần mềm Quản lý Đại Nam.
Bước 2. Đăng nhập tài khoản Quản lý (tên đăng nhập: admin).
Bước 3. Trên menu chính, chọn thẻ Lưu trú.
Bước 4. Tại màn hình Sơ đồ phòng, chọn phòng 104 đang có khách.
Bước 5. Nhấn nút Đổi phòng.
Bước 6. Chọn phòng đích: Phòng 105.
Bước 7. Tích chọn: Chuyển toàn bộ dịch vụ mini-bar đã dùng.
Bước 8. Nhấn Xác nhận.","Bước 1. Phần mềm khởi động, hiển thị màn hình đăng nhập.
Bước 2. Đăng nhập thành công, vào màn hình chính.
Bước 3. Hệ thống mở phân hệ Lưu trú.
Bước 4. Màn hình đổi phòng hiển thị.
Bước 5. Phòng đích được xác định.
Bước 6. Tùy chọn chuyển dịch vụ được lưu.
Bước 7. Dịch vụ mini-bar được chuyển sang phòng 105, tồn kho giữ nguyên.",High,,,Antigravity,
CN18_HQ,TC_HQ_009,Hủy đặt phòng hoàn lại tồn kho dự kiến,10,Functional,Hồi quy Kho - Lưu trú,Hệ thống đang chạy bình thường.,"Bước 1. Mở phần mềm Quản lý Đại Nam.
Bước 2. Đăng nhập tài khoản Quản lý (tên đăng nhập: admin).
Bước 3. Trên menu chính, chọn thẻ Lưu trú.
Bước 4. Vào màn hình Danh sách đặt trước (Booking).
Bước 5. Chọn mã đặt phòng BK001 có kèm dịch vụ đặt trước 5 phần quà lưu niệm.
Bước 6. Nhấn nút Hủy đặt phòng.","Bước 1. Phần mềm khởi động, hiển thị màn hình đăng nhập.
Bước 2. Đăng nhập thành công, vào màn hình chính.
Bước 3. Hệ thống mở phân hệ Lưu trú.
Bước 4. Màn hình Booking hiển thị.
Bước 5. Đơn đặt phòng được chọn.
Bước 6. Trạng thái chuyển sang Hủy.
Bước 7. Tồn kho dự kiến của 5 phần quà được giải phóng.",High,,,Antigravity,
CN18_HQ,TC_HQ_010,Báo cáo doanh thu Kho và Lưu trú khớp số liệu,10,Functional,Hồi quy Kho - Lưu trú,Hệ thống đang chạy bình thường.,"Bước 1. Mở phần mềm Quản lý Đại Nam.
Bước 2. Đăng nhập tài khoản Quản lý (tên đăng nhập: admin).
Bước 3. Trên menu chính, chọn thẻ Lưu trú.
Bước 4. Thực hiện thanh toán hóa đơn phòng 106 có dùng mini-bar 500,000đ.
Bước 5. Mở màn hình Báo cáo doanh thu.
Bước 6. Xem doanh thu mục Lưu trú và mục Kho.","Bước 1. Phần mềm khởi động, hiển thị màn hình đăng nhập.
Bước 2. Đăng nhập thành công, vào màn hình chính.
Bước 3. Hệ thống mở phân hệ Lưu trú.
Bước 4. Thanh toán thành công hóa đơn.
Bước 5. Màn hình báo cáo mở ra.
Bước 6. Doanh thu mini-bar hiển thị đúng 500,000đ ở cả hai phân hệ tương ứng.",High,,,Antigravity,
