"REQ ID","TC ID","Title","Est. (phút)","Test Type","Area","Precondition","Procedure / Steps","Expected Results","Priority","Result","Change TC","Author","Remark"
"UC_SP_001","TC_SP_001","Mở màn hình danh sách sản phẩm thành công","5","Functional","1.1 Danh sách SP","Tài khoản admin đang hoạt động.","Bước 1. Mở phần mềm Đại Nam POS.
Bước 2. Đăng nhập tài khoản Quản lý (admin).
Bước 3. Trên menu bên trái chọn Danh mục.
Bước 4. Chọn Hàng hóa và Dịch vụ.","Bước 1. Màn hình đăng nhập xuất hiện.
Bước 2. Vào màn hình chính.
Bước 3. Menu mở rộng hiển thị.
Bước 4. Màn hình danh sách mở ra, lưới bên trái, panel chi tiết ẩn bên phải.","High","","","Bùi Trí Nguyên",""
"UC_SP_001","TC_SP_002","Thanh công cụ hiển thị đủ 3 nút mặc định","5","UI/UX","1.1 Danh sách SP","Đã vào màn hình danh sách SP.","Bước 1. Mở phần mềm Đại Nam POS.
Bước 2. Đăng nhập tài khoản Quản lý (admin).
Bước 3. Vào Hệ thống Danh Mục, chọn Sản phẩm, Dịch vụ & Vé.
Bước 4. Quan sát thanh công cụ phía trên lưới.","Bước 1. Màn hình đăng nhập xuất hiện.
Bước 2. Vào màn hình chính.
Bước 3. Mở màn hình danh sách SP.
Bước 4. Thanh công cụ hiển thị đúng 3 nút: Thêm mới, Làm mới, ô Tìm kiếm.","High","","","Bùi Trí Nguyên",""
"UC_SP_001","TC_SP_003","Bộ lọc nhanh hiển thị đủ 7 nút, nút Tất cả mặc định","5","UI/UX","1.1 Danh sách SP","Đã vào màn hình danh sách SP.","Bước 1. Mở phần mềm Đại Nam POS.
Bước 2. Đăng nhập tài khoản Quản lý (admin).
Bước 3. Vào Hệ thống Danh Mục, chọn Sản phẩm, Dịch vụ & Vé.
Bước 4. Quan sát hàng nút bộ lọc nhanh.","Bước 1. Màn hình đăng nhập xuất hiện.
Bước 2. Vào màn hình chính.
Bước 3. Mở màn hình danh sách SP.
Bước 4. Hiển thị 7 nút: Tất cả, Vé, Đồ ăn, Đồ uống, Cho thuê, Lưu trú, Vật tư. Nút Tất cả đổi màu nổi bật.","High","","","Bùi Trí Nguyên",""
"UC_SP_001","TC_SP_004","Lưới hiển thị dạng cây nhóm theo Loại SP","5","UI/UX","1.1 Danh sách SP","Hệ thống có ít nhất 3 SP thuộc 2 nhóm loại khác nhau.","Bước 1. Mở phần mềm Đại Nam POS.
Bước 2. Đăng nhập tài khoản Quản lý (admin).
Bước 3. Vào Hệ thống Danh Mục, chọn Sản phẩm, Dịch vụ & Vé.
Bước 4. Quan sát lưới sản phẩm.","Bước 1. Màn hình đăng nhập xuất hiện.
Bước 2. Vào màn hình chính.
Bước 3. Mở màn hình danh sách SP.
Bước 4. Lưới hiển thị dạng cây. Cột Loại SP là cột nhóm, tất cả nhóm tự động mở rộng.","Medium","","","Bùi Trí Nguyên",""
"UC_SP_001","TC_SP_005","Thanh trạng thái hiển thị tổng số sản phẩm","5","UI/UX","1.1 Danh sách SP","Hệ thống có đúng 10 SP.","Bước 1. Mở phần mềm Đại Nam POS.
Bước 2. Đăng nhập tài khoản Quản lý (admin).
Bước 3. Vào Hệ thống Danh Mục, chọn Sản phẩm, Dịch vụ & Vé.
Bước 4. Quan sát thanh trạng thái dưới lưới.","Bước 1. Màn hình đăng nhập xuất hiện.
Bước 2. Vào màn hình chính.
Bước 3. Mở màn hình danh sách SP.
Bước 4. Thanh trạng thái hiển thị chữ: Tổng 10.","Low","","","Bùi Trí Nguyên",""
"UC_SP_001","TC_SP_006","Màu chữ cột Trạng thái - Đang bán hiển thị màu xanh lá","5","UI/UX","1.1 Danh sách SP","Hệ thống có SP ở trạng thái Đang bán.","Bước 1. Mở phần mềm Đại Nam POS.
Bước 2. Đăng nhập tài khoản Quản lý (admin).
Bước 3. Vào Hệ thống Danh Mục, chọn Sản phẩm, Dịch vụ & Vé.
Bước 4. Quan sát màu chữ dòng Đang bán.","Bước 1. Màn hình đăng nhập xuất hiện.
Bước 2. Vào màn hình chính.
Bước 3. Mở màn hình danh sách SP.
Bước 4. Chữ ở cột Trạng thái hiển thị màu xanh lá.","Medium","","","Bùi Trí Nguyên",""
"UC_SP_001","TC_SP_007","Màu chữ cột Trạng thái - Tạm ngưng hiển thị màu vàng đậm","5","UI/UX","1.1 Danh sách SP","Hệ thống có SP ở trạng thái Tạm ngưng.","Bước 1. Mở phần mềm Đại Nam POS.
Bước 2. Đăng nhập tài khoản Quản lý (admin).
Bước 3. Vào Hệ thống Danh Mục, chọn Sản phẩm, Dịch vụ & Vé.
Bước 4. Quan sát màu chữ dòng Tạm ngưng.","Bước 1. Màn hình đăng nhập xuất hiện.
Bước 2. Vào màn hình chính.
Bước 3. Mở màn hình danh sách SP.
Bước 4. Chữ ở cột Trạng thái hiển thị màu vàng đậm.","Medium","","","Bùi Trí Nguyên",""
"UC_SP_001","TC_SP_008","Màu chữ cột Trạng thái - Ngừng bán hiển thị màu đỏ","5","UI/UX","1.1 Danh sách SP","Hệ thống có SP ở trạng thái Ngừng bán.","Bước 1. Mở phần mềm Đại Nam POS.
Bước 2. Đăng nhập tài khoản Quản lý (admin).
Bước 3. Vào Hệ thống Danh Mục, chọn Sản phẩm, Dịch vụ & Vé.
Bước 4. Quan sát màu chữ dòng Ngừng bán.","Bước 1. Màn hình đăng nhập xuất hiện.
Bước 2. Vào màn hình chính.
Bước 3. Mở màn hình danh sách SP.
Bước 4. Chữ ở cột Trạng thái hiển thị màu đỏ.","Medium","","","Bùi Trí Nguyên",""
"UC_SP_001","TC_SP_009","Nhấn bộ lọc Vé - lưới chỉ hiển thị nhóm Vé","5","Functional","1.1 Danh sách SP","Hệ thống có SP nhóm Vé và nhóm Đồ uống.","Bước 1. Mở phần mềm Đại Nam POS.
Bước 2. Đăng nhập tài khoản Quản lý (admin).
Bước 3. Vào Hệ thống Danh Mục, chọn Sản phẩm, Dịch vụ & Vé.
Bước 4. Nhấn nút Vé trên bộ lọc.","Bước 1. Màn hình đăng nhập xuất hiện.
Bước 2. Vào màn hình chính.
Bước 3. Mở màn hình danh sách SP.
Bước 4. Nút Vé đổi màu nổi bật. Lưới chỉ còn SP nhóm Vé.","High","","","Bùi Trí Nguyên",""
"UC_SP_001","TC_SP_010","Nhấn bộ lọc Đồ uống - lưới chỉ hiển thị nhóm Đồ uống","5","Functional","1.1 Danh sách SP","Hệ thống có SP nhóm Đồ uống.","Bước 1. Mở phần mềm Đại Nam POS.
Bước 2. Đăng nhập tài khoản Quản lý (admin).
Bước 3. Vào Hệ thống Danh Mục, chọn Sản phẩm, Dịch vụ & Vé.
Bước 4. Nhấn nút Đồ uống trên bộ lọc.","Bước 1. Màn hình đăng nhập xuất hiện.
Bước 2. Vào màn hình chính.
Bước 3. Mở màn hình danh sách SP.
Bước 4. Nút Đồ uống đổi màu nổi bật. Lưới chỉ còn SP nhóm Đồ uống.","High","","","Bùi Trí Nguyên",""
