Summary,Issue Type,Priority,Story Points,Sprint,Epic Name,Assignee,Labels,Created,Due Date,Status,Description
"Nền Tảng & Danh Mục",Epic,Highest,,,,Nguyên,,"04/Mar/26 8:00 AM",,Done,"Epic bao gồm: Database, Auth, CRUD master data, SRS, TestCase, Seed Data, Combo, Bảng giá, Sự kiện, Khuyến mãi, AI Chatbox."
"Dịch Vụ Giải Trí",Epic,High,,,,Tấn,,"01/Apr/26 8:00 AM",,Done,"Epic bao gồm: Khách sạn, Nhà hàng, Thuê đồ, Gửi xe, Biển nhân tạo, Vườn thú."
"Bán Hàng POS",Epic,Highest,,,,Nguyên,,"18/Mar/26 8:00 AM",,Done,"Epic bao gồm: Bán vé POS v1 + v2, Giỏ hàng, Thanh toán, Vé điện tử QR."
"Tài Chính & Ví",Epic,High,,,,Nguyên,,"22/Mar/26 8:00 AM",,Done,"Epic bao gồm: Ví RFID, PhieuThu/Chi, Loyalty tích điểm, Đơn hàng v2."
"Kho Vận",Epic,Medium,,,,Nguyên,,"05/Apr/26 8:00 AM",,Done,"Epic bao gồm: Nhập/Xuất/Kiểm kho, Thẻ kho, Nhà cung cấp, Phiếu kho."
"Nhân Sự & Vận Hành",Epic,Medium,,,,Tấn,,"18/Mar/26 8:00 AM",,Done,"Epic bao gồm: Nhân viên, Lịch ca, Bảo trì, Sự cố, RBAC, Dashboard."
"Tái Cấu Trúc (Refactoring)",Epic,Highest,,,,Nguyên,,"01/Apr/26 8:00 AM",,Done,"Epic bao gồm: DB Migration v1→v3, Gateway Pattern + DI, Unit Testing 102 TC, UI Redesign POS."
"Web B2C & DevOps",Epic,High,,,,Nguyên,,"15/Apr/26 8:00 AM",,Done,"Epic bao gồm: Kestrel API, Blazor WASM, run.bat, deploy.bat, Git Release v1.0."
"[DB] Thiết kế Database v1 (dbCu.sql — 23 bảng generic)",Task,Highest,5,"Sprint 1: Xây Dựng Nền Tảng","Nền Tảng & Danh Mục",Nguyên,,"04/Mar/26 9:00 AM","17/Mar/26 5:00 PM",Done,"Thiết kế cấu trúc cơ sở dữ liệu ban đầu gồm 23 bảng dùng chung cho hệ thống quản lý công viên giải trí."
"[ARCH] Thiết lập kiến trúc 3 lớp (DAL → BUS → GUI) với pattern DAL_*.Instance",Story,High,3,"Sprint 1: Xây Dựng Nền Tảng","Nền Tảng & Danh Mục",Nguyên,,"04/Mar/26 9:30 AM","17/Mar/26 5:00 PM",Done,"Xây dựng kiến trúc 3 tầng DAL-BUS-GUI. Tầng DAL sử dụng mẫu Singleton. Tạo lớp cơ sở DAL_Base."
"[CRUD] Quản lý Khu Vực — Thêm/Sửa/Xóa/Tìm kiếm",Story,Medium,3,"Sprint 1: Xây Dựng Nền Tảng","Nền Tảng & Danh Mục",Tấn,,"04/Mar/26 10:00 AM","17/Mar/26 5:00 PM",Done,"Xây dựng giao diện quản lý danh sách khu vực. Thêm, Sửa, Xóa. Kiểm tra trùng tên."
"[CRUD] Quản lý Trò Chơi — Master-Detail với Khu vực cha",Story,Medium,3,"Sprint 1: Xây Dựng Nền Tảng","Nền Tảng & Danh Mục",Tấn,,"05/Mar/26 9:00 AM","17/Mar/26 5:00 PM",Done,"Xây dựng giao diện quản lý trò chơi trong từng khu vực. Lọc theo khu vực và loại."
"[CRUD] Quản lý Loại Vé + Combo vé — Vé đơn + Vé combo cha-con",Story,Medium,3,"Sprint 1: Xây Dựng Nền Tảng","Nền Tảng & Danh Mục",Tấn,,"06/Mar/26 9:00 AM","17/Mar/26 5:00 PM",Done,"frmLoaiVe (loại vé) + frmCombo (gói combo nhiều dịch vụ với giá ưu đãi)."
"[CRUD] Quản lý Dịch vụ F&B — Sản phẩm theo danh mục + khu vực",Story,Low,3,"Sprint 1: Xây Dựng Nền Tảng","Nền Tảng & Danh Mục",Nhi,,"06/Mar/26 2:00 PM","17/Mar/26 5:00 PM",Done,"Quản lý dịch vụ (ăn uống, giải trí, cho thuê). Phân loại theo nhóm."
"[AUTH] Form Login + Đăng ký tài khoản (2 vai trò)",Story,High,2,"Sprint 1: Xây Dựng Nền Tảng","Nền Tảng & Danh Mục",Nguyên,,"07/Mar/26 9:00 AM","17/Mar/26 5:00 PM",Done,"Đăng nhập bằng tên + mật khẩu. Mã hóa. Form đăng ký tài khoản mới."
"[LAN] Form cấu hình kết nối LAN (frmConfigConnect)",Story,Medium,1,"Sprint 1: Xây Dựng Nền Tảng","Nền Tảng & Danh Mục",Nguyên,,"09/Mar/26 9:00 AM","17/Mar/26 5:00 PM",Done,"Cấu hình SQL Server trên LAN. Kiểm tra kết nối. Lưu AppConfig."
"[DOC] Viết SRS Sprint 1 + Test Case (478 TC) + Defect List (45 lỗi)",Task,Medium,2,"Sprint 1: Xây Dựng Nền Tảng","Nền Tảng & Danh Mục",Nhi,,"12/Mar/26 9:00 AM","17/Mar/26 5:00 PM",Done,"SRS v1.0. 478 TC (KhuVuc 105, TroChoi 108, LoaiVe+Combo 112, DichVu 103, Login 32, Config 18). 45 Defects (8C/14Ma/13Me/10Mi). UserGuide S1."
