TC ID,Title,Est. (mins),Test Type,Area,Procedure / Steps,Expected Results,Priority,RESULT
GATE_001,Mở màn hình Kiểm soát vé — kiểm tra bố cục tổng thể,3,UI,Kiểm soát vé,"1. Mở phần mềm Quản lý Công viên Đại Nam từ desktop.
2. Tại màn hình đăng nhập, nhập tài khoản ""congvien01"", mật khẩu ""123456"", nhấn ""Đăng nhập"".
3. Sau khi vào trang chính, nhấn menu ""Kiểm soát vé"" trên thanh điều hướng bên trái.
4. Quan sát toàn bộ bố cục màn hình.","1. Phần mềm khởi động thành công.
2. Đăng nhập thành công, vào trang chính.
3. Màn hình Kiểm soát vé mở ra.
4. Bố cục gồm: (A) Bên trái — dropdown chọn Khu vực, dropdown chọn Trò chơi, ô nhập mã vé (quét/gõ), nút bật/tắt camera, lịch sử quét. (B) Bên phải — panel kết quả lớn (hiện trạng thái quét), thẻ thông tin vé. (C) Phía dưới — bộ đếm: Hợp lệ / Từ chối / Tổng quét.",High,PENDING
GATE_002,Kiểm tra dropdown Khu vực có dữ liệu,2,UI,Kiểm soát vé,"1. Mở phần mềm Quản lý Công viên Đại Nam từ desktop.
2. Đăng nhập bằng tài khoản ""congvien01"" / ""123456"".
3. Nhấn menu ""Kiểm soát vé"".
4. Nhấn vào dropdown chọn Khu vực.
5. Quan sát danh sách hiển thị.","1. Phần mềm khởi động thành công.
2. Đăng nhập thành công.
3. Màn hình Kiểm soát vé hiển thị.
4. Dropdown mở ra.
5. Hiển thị danh sách các khu vực đang hoạt động (VD: Khu Thiên Đường, Khu Biển, Khu Mạo Hiểm). Mặc định đã chọn khu đầu tiên.",High,PENDING
GATE_003,Kiểm tra dropdown Trò chơi liên kết đúng khu vực,2,Logic,Kiểm soát vé,"1. Mở phần mềm Quản lý Công viên Đại Nam từ desktop.
2. Đăng nhập bằng tài khoản ""congvien01"" / ""123456"".
3. Nhấn menu ""Kiểm soát vé"".
4. Chọn ""Khu Thiên Đường"" ở dropdown Khu vực.
5. Nhấn vào dropdown Trò chơi.
6. Quan sát danh sách trò chơi.","1. Phần mềm khởi động thành công.
2. Đăng nhập thành công.
3. Màn hình Kiểm soát vé hiển thị.
4. Chọn Khu Thiên Đường.
5. Dropdown Trò chơi mở ra.
6. Chỉ hiển thị các trò chơi thuộc Khu Thiên Đường. Có mục ""Cổng chung (tất cả trò)"" ở đầu danh sách.",High,PENDING
GATE_004,"Chọn ""Cổng chung"" — trạng thái sẵn sàng",1,UI,Kiểm soát vé,"1. Mở phần mềm Quản lý Công viên Đại Nam từ desktop.
2. Đăng nhập bằng tài khoản ""congvien01"" / ""123456"".
3. Nhấn menu ""Kiểm soát vé"".
4. Chọn khu vực bất kỳ.
5. Chọn ""Cổng chung (tất cả trò)"" ở dropdown Trò chơi.
6. Quan sát trạng thái màn hình.","1. Phần mềm khởi động thành công.
2. Đăng nhập thành công.
3. Màn hình Kiểm soát vé hiển thị.
4. Khu vực được chọn.
5. Chọn ""Cổng chung"".
6. Panel kết quả hiện trạng thái ""SẴN SÀNG"" (hoặc tương tự), sẵn sàng nhận quét vé. Ô nhập mã vé sẵn sàng focus.",Medium,PENDING
GATE_005,Kiểm tra ô nhập mã vé tự động focus khi mở form,1,UI,Kiểm soát vé,"1. Mở phần mềm Quản lý Công viên Đại Nam từ desktop.
2. Đăng nhập bằng tài khoản ""congvien01"" / ""123456"".
3. Nhấn menu ""Kiểm soát vé"".
4. Quan sát vị trí con trỏ nhập liệu.","1. Phần mềm khởi động thành công.
2. Đăng nhập thành công.
3. Màn hình Kiểm soát vé hiển thị.
4. Con trỏ nhập liệu tự động nằm trong ô nhập mã vé, sẵn sàng nhận từ đầu đọc barcode hoặc bàn phím.",Medium,PENDING
GATE_006,Kiểm tra bộ đếm ban đầu = 0,1,UI,Kiểm soát vé,"1. Mở phần mềm Quản lý Công viên Đại Nam từ desktop.
2. Đăng nhập bằng tài khoản ""congvien01"" / ""123456"".
3. Nhấn menu ""Kiểm soát vé"".
4. Quan sát bộ đếm phía dưới màn hình.","1. Phần mềm khởi động thành công.
2. Đăng nhập thành công.
3. Màn hình Kiểm soát vé hiển thị.
4. Bộ đếm: Hợp lệ = 0, Từ chối = 0, Tổng = 0.",Low,PENDING
GATE_007,Kiểm tra lịch sử quét trống khi mới mở,1,UI,Kiểm soát vé,"1. Mở phần mềm Quản lý Công viên Đại Nam từ desktop.
2. Đăng nhập bằng tài khoản ""congvien01"" / ""123456"".
3. Nhấn menu ""Kiểm soát vé"".
4. Quan sát bảng lịch sử quét.","1. Phần mềm khởi động thành công.
2. Đăng nhập thành công.
3. Màn hình Kiểm soát vé hiển thị.
4. Bảng lịch sử quét trống, không có dòng nào.",Low,PENDING
GATE_008,Quét vé hợp lệ — đúng khu vực đúng trò chơi — hiện MỜI VÀO,3,Logic,Kiểm soát vé,"1. Mở phần mềm Quản lý Công viên Đại Nam từ desktop.
2. Đăng nhập bằng tài khoản ""congvien01"" / ""123456"".
3. Nhấn menu ""Kiểm soát vé"".
4. Chọn Khu vực = ""Khu A"". Chọn Trò chơi = ""Cổng chung"".
5. Gõ mã vé hợp lệ thuộc Khu A (VD: ""VE-001"", còn 3 lượt) vào ô nhập mã, nhấn Enter.
6. Quan sát panel kết quả và bộ đếm.","1. Phần mềm khởi động thành công.
2. Đăng nhập thành công.
3. Màn hình Kiểm soát vé hiển thị.
4. Khu A và Cổng chung được chọn.
5. Hệ thống kiểm tra: vé thuộc Khu A, còn lượt.
6. Panel kết quả hiện: ✅ ""MỜI VÀO"" nền xanh, viền chớp xanh. Thẻ thông tin bên phải hiện: Tên dịch vụ, Mã vé, Khu vực, ""Lượt còn: 2"" (đã trừ 1). Bộ đếm Hợp lệ tăng 1, Tổng tăng 1. Lịch sử thêm 1 dòng: giờ, mã, ✅.",Critical,PENDING
GATE_009,Quét vé hợp lệ — lượt tự động trừ 1,3,Logic,Kiểm soát vé,"1. Mở phần mềm Quản lý Công viên Đại Nam từ desktop.
2. Đăng nhập bằng tài khoản ""congvien01"" / ""123456"".
3. Nhấn menu ""Kiểm soát vé"".
4. Chọn Khu A, Cổng chung.
5. Ghi nhận lượt còn lại của vé VE-001 trước khi quét (VD: 3 lượt).
6. Quét mã ""VE-001"".
7. Kiểm tra số lượt còn lại sau quét.","1. Phần mềm khởi động thành công.
2. Đăng nhập thành công.
3. Màn hình Kiểm soát vé hiển thị.
4. Khu A, Cổng chung.
5. Lượt trước quét = 3.
6. Quét thành công → MỜI VÀO.
7. Lượt còn lại = 2 (đã trừ đúng 1 lượt). Thẻ thông tin hiện ""Lượt còn: 2"".",Critical,PENDING
GATE_010,Quét vé hợp lệ liên tiếp 3 lần — trừ 3 lượt,5,Logic,Kiểm soát vé,"1. Mở phần mềm Quản lý Công viên Đại Nam từ desktop.
2. Đăng nhập bằng tài khoản ""congvien01"" / ""123456"".
3. Nhấn menu ""Kiểm soát vé"".
4. Chọn Khu A, Cổng chung.
5. Chuẩn bị vé VE-TEST có 5 lượt.
6. Quét ""VE-TEST"" lần 1. Ghi nhận lượt.
7. Quét ""VE-TEST"" lần 2. Ghi nhận lượt.
8. Quét ""VE-TEST"" lần 3. Ghi nhận lượt.","1. Phần mềm khởi động thành công.
2. Đăng nhập thành công.
3. Màn hình Kiểm soát vé hiển thị.
4. Chọn xong.
5. Vé có 5 lượt.
6. Lần 1: MỜI VÀO, lượt còn 4.
7. Lần 2: MỜI VÀO, lượt còn 3.
8. Lần 3: MỜI VÀO, lượt còn 2. Bộ đếm Hợp lệ = 3, Tổng = 3. Lịch sử có 3 dòng.",High,PENDING
