TC ID,Title,Est. (mins),Test Type,Area,Procedure / Steps,Expected Results,Priority,RESULT
RT_001,Mở màn hình Thuê đồ — kiểm tra bố cục tổng thể,3,UI,Thuê đồ,"1. Mở phần mềm Quản lý Công viên Đại Nam từ desktop.
2. Tại màn hình đăng nhập, nhập tài khoản ""thuedonv01"", mật khẩu ""123456"", nhấn ""Đăng nhập"".
3. Nhấn menu ""Thuê đồ"" trên thanh điều hướng.
4. Quan sát bố cục tổng thể.","1. Phần mềm khởi động thành công.
2. Đăng nhập thành công, vào trang chính.
3. Màn hình Thuê đồ mở ra.
4. Bố cục gồm: (A) Tab ""Cho Thuê"" — dropdown chọn Trạm, danh sách sản phẩm cho thuê, giỏ thuê, tổng tiền (thuê + cọc), khu vực quẹt RFID, nút thanh toán. (B) Tab ""Nhận Trả"" — ô quẹt RFID hoặc quét mã biên lai, bảng đồ đang mượn, nút Xác nhận trả. (C) Tab ""Giám sát"" — danh sách phiên thuê chưa hoàn.",High,PENDING
RT_002,Kiểm tra dropdown Trạm cho thuê có dữ liệu,2,UI,Thuê đồ,"1. Mở phần mềm Quản lý Công viên Đại Nam từ desktop.
2. Đăng nhập bằng tài khoản ""thuedonv01"" / ""123456"".
3. Nhấn menu ""Thuê đồ"".
4. Nhấn vào dropdown Trạm.
5. Quan sát danh sách.","1. Phần mềm khởi động thành công.
2. Đăng nhập thành công.
3. Màn hình Thuê đồ hiển thị.
4. Dropdown mở ra.
5. Hiển thị các trạm cho thuê (VD: ""Khu Biển"", ""Khu Thiên Đường""). Mặc định chọn trạm đầu tiên.",High,PENDING
RT_003,Danh sách sản phẩm cho thuê hiển thị đúng theo trạm,2,Logic,Thuê đồ,"1. Mở phần mềm Quản lý Công viên Đại Nam từ desktop.
2. Đăng nhập bằng tài khoản ""thuedonv01"" / ""123456"".
3. Nhấn menu ""Thuê đồ"".
4. Chọn trạm ""Khu Biển"".
5. Quan sát danh sách sản phẩm.","1. Phần mềm khởi động thành công.
2. Đăng nhập thành công.
3. Màn hình Thuê đồ hiển thị.
4. Chọn Khu Biển.
5. Danh sách hiện các sản phẩm cho thuê thuộc khu này: Phao bơi, Tủ đồ, Chòi nghỉ... Mỗi item hiện: Tên, Giá thuê, Tiền cọc.",High,PENDING
RT_004,Thêm sản phẩm thuê vào giỏ bằng Double-Click,3,Logic,Thuê đồ,"1. Mở phần mềm Quản lý Công viên Đại Nam từ desktop.
2. Đăng nhập bằng tài khoản ""thuedonv01"" / ""123456"".
3. Nhấn menu ""Thuê đồ"".
4. Chọn trạm ""Khu Biển"".
5. Double-click vào ""Phao bơi"" (giá thuê 50.000đ, cọc 200.000đ).
6. Quan sát giỏ thuê.","1. Phần mềm khởi động thành công.
2. Đăng nhập thành công.
3. Màn hình Thuê đồ hiển thị.
4. Khu Biển.
5. Double-click Phao bơi.
6. Giỏ thuê thêm 1 dòng: Phao bơi | SL 1 | Thuê 50.000đ | Cọc 200.000đ. Tổng hiện ""Tiền thuê: 50.000đ | Tiền cọc: 200.000đ | TỔNG: 250.000đ"".",Critical,PENDING
RT_005,Thêm cùng sản phẩm 2 lần — SL gộp tăng lên 2,2,Logic,Thuê đồ,"1. Mở phần mềm Quản lý Công viên Đại Nam từ desktop.
2. Đăng nhập bằng tài khoản ""thuedonv01"" / ""123456"".
3. Nhấn menu ""Thuê đồ"".
4. Chọn trạm, double-click ""Phao bơi"" lần 1.
5. Double-click ""Phao bơi"" lần 2.
6. Quan sát giỏ.","1. Phần mềm khởi động thành công.
2. Đăng nhập thành công.
3. Màn hình Thuê đồ hiển thị.
4. Lần 1: Phao bơi SL=1.
5. Lần 2: SL gộp = 2 (không tạo dòng mới).
6. Thuê = 100.000đ, Cọc = 400.000đ, TỔNG = 500.000đ.",High,PENDING
RT_006,Thêm 2 sản phẩm khác nhau vào giỏ,2,Logic,Thuê đồ,"1. Mở phần mềm Quản lý Công viên Đại Nam từ desktop.
2. Đăng nhập bằng tài khoản ""thuedonv01"" / ""123456"".
3. Nhấn menu ""Thuê đồ"".
4. Chọn trạm. Double-click ""Phao bơi"".
5. Double-click ""Tủ đồ"".
6. Quan sát giỏ.","1. Phần mềm khởi động thành công.
2. Đăng nhập thành công.
3. Màn hình Thuê đồ hiển thị.
4. Phao bơi SL = 1.
5. Tủ đồ SL = 1.
6. Giỏ có 2 dòng. Tổng = Thuê phao + Thuê tủ + Cọc phao + Cọc tủ.",High,PENDING
RT_007,Hiển thị tổng tiền đúng: Tiền thuê + Tiền cọc + TỔNG,3,Logic,Thuê đồ,"1. Mở phần mềm Quản lý Công viên Đại Nam từ desktop.
2. Đăng nhập bằng tài khoản ""thuedonv01"" / ""123456"".
3. Nhấn menu ""Thuê đồ"".
4. Thêm Phao bơi ×2 (thuê 50K/cái, cọc 200K/cái) + Tủ đồ ×1 (thuê 30K, cọc 100K).
5. Quan sát khu vực tổng tiền.","1. Phần mềm khởi động thành công.
2. Đăng nhập thành công.
3. Màn hình Thuê đồ hiển thị.
4. Giỏ: 2 phao + 1 tủ.
5. Tiền thuê = 2×50K + 30K = 130.000đ. Tiền cọc = 2×200K + 100K = 500.000đ. TỔNG = 630.000đ. Hiển thị rõ ràng 3 dòng riêng.",High,PENDING
RT_008,Quẹt RFID khách hàng khi cho thuê — hiện tên + số dư ví,3,Logic,Thuê đồ,"1. Mở phần mềm Quản lý Công viên Đại Nam từ desktop.
2. Đăng nhập bằng tài khoản ""thuedonv01"" / ""123456"".
3. Nhấn menu ""Thuê đồ"".
4. Thêm sản phẩm vào giỏ.
5. Quẹt thẻ RFID khách hàng (KH001, ví 1.000.000đ).
6. Quan sát thông tin KH.","1. Phần mềm khởi động thành công.
2. Đăng nhập thành công.
3. Màn hình Thuê đồ hiển thị.
4. Giỏ có hàng.
5. Thẻ RFID quẹt.
6. Hiện tên khách: ""Nguyễn Văn A"", Số dư ví: 1.000.000đ.",High,PENDING
RT_009,Thanh toán bằng ví RFID — số dư đủ — thành công,5,E2E,Thuê đồ,"1. Mở phần mềm Quản lý Công viên Đại Nam từ desktop.
2. Đăng nhập bằng tài khoản ""thuedonv01"" / ""123456"".
3. Nhấn menu ""Thuê đồ"".
4. Thêm Phao bơi ×2 (TỔNG 500K).
5. Quẹt RFID khách (ví 1.000.000đ).
6. Nhấn nút ""Thanh toán ví"".
7. Xác nhận.
8. Quan sát kết quả.","1. Phần mềm khởi động thành công.
2. Đăng nhập thành công.
3. Màn hình Thuê đồ hiển thị.
4. Giỏ: 500K.
5. Ví 1.000.000đ ≥ 500.000đ.
6. Nhấn thanh toán ví.
7. Xác nhận.
8. Trừ ví 500K → ví còn 500K. Tạo phiên thuê cho mỗi món (trạng thái ""Chưa trả""). Hiện mã biên lai (VD: ""DT260401143022ABCD""). Mã tự copy vào clipboard. Giỏ reset.",Critical,PENDING
RT_010,Thanh toán ví RFID — số dư KHÔNG đủ — bị chặn,3,Logic,Thuê đồ,"1. Mở phần mềm Quản lý Công viên Đại Nam từ desktop.
2. Đăng nhập bằng tài khoản ""thuedonv01"" / ""123456"".
3. Nhấn menu ""Thuê đồ"".
4. Thêm hàng sao cho TỔNG = 500K.
5. Quẹt RFID khách (ví chỉ có 100K).
6. Nhấn ""Thanh toán ví"".
7. Quan sát.","1. Phần mềm khởi động thành công.
2. Đăng nhập thành công.
3. Màn hình Thuê đồ hiển thị.
4. Tổng 500K.
5. Ví 100K < 500K.
6. Nhấn thanh toán.
7. Hộp thoại: ""Số dư ví không đủ! Cần: 500.000đ, Có: 100.000đ"". Không trừ ví. Không tạo phiên thuê.",Critical,PENDING
RT_011,Thanh toán bằng tiền mặt — thành công,5,E2E,Thuê đồ,"1. Mở phần mềm Quản lý Công viên Đại Nam từ desktop.
2. Đăng nhập bằng tài khoản ""thuedonv01"" / ""123456"".
3. Nhấn menu ""Thuê đồ"".
4. Thêm hàng vào giỏ (TỔNG 250K).
5. KHÔNG quẹt RFID (khách vãng lai).
6. Nhấn nút ""Thanh toán tiền mặt"".
7. Xác nhận.
8. Quan sát.","1. Phần mềm khởi động thành công.
2. Đăng nhập thành công.
3. Màn hình Thuê đồ hiển thị.
4. Giỏ: 250K.
5. Khách vãng lai.
6. Nhấn TT tiền mặt.
7. Xác nhận.
8. Tạo phiên thuê (""Chưa trả""). Mã biên lai tự sinh. Mã copy vào clipboard. Nhân viên in hoặc ghi cho khách. Giỏ reset.",High,PENDING
RT_012,Thanh toán khi giỏ trống — bị chặn,1,Logic,Thuê đồ,"1. Mở phần mềm Quản lý Công viên Đại Nam từ desktop.
2. Đăng nhập bằng tài khoản ""thuedonv01"" / ""123456"".
3. Nhấn menu ""Thuê đồ"".
4. Không thêm gì vào giỏ.
5. Nhấn thanh toán.
6. Quan sát.","1. Phần mềm khởi động thành công.
2. Đăng nhập thành công.
3. Màn hình Thuê đồ hiển thị.
4. Giỏ trống.
5. Nhấn thanh toán.
6. Hộp thoại: ""Giỏ hàng trống!"". Không tạo phiên thuê.",High,PENDING
RT_013,Mã biên lai tự copy vào clipboard sau thanh toán,3,Logic,Thuê đồ,"1. Mở phần mềm Quản lý Công viên Đại Nam từ desktop.
2. Đăng nhập bằng tài khoản ""thuedonv01"" / ""123456"".
3. Nhấn menu ""Thuê đồ"".
4. Thêm hàng, thanh toán thành công.
5. Mở Notepad.
6. Nhấn Ctrl+V (Paste).
7. Quan sát.","1. Phần mềm khởi động thành công.
2. Đăng nhập thành công.
3. Thanh toán thành công.
4. Mã biên lai sinh.
5. Mở Notepad.
6. Paste.
7. Mã biên lai (VD: ""DT260401143022ABCD"") xuất hiện trong Notepad. Đúng mã vừa tạo.",Medium,PENDING
RT_014,Giá thuê theo ngày — ngày thường vs cuối tuần vs lễ,3,Logic,Thuê đồ,"1. Mở phần mềm Quản lý Công viên Đại Nam từ desktop.
2. Đăng nhập bằng tài khoản ""thuedonv01"" / ""123456"".
3. Nhấn menu ""Thuê đồ"".
4. Chọn trạm. Quan sát giá thuê Phao bơi.
5. So sánh với bảng giá cấu hình cho hôm nay.","1. Phần mềm khởi động thành công.
2. Đăng nhập thành công.
3. Màn hình Thuê đồ hiển thị.
4. Giá thuê.
5. Giá thuê khớp với bảng giá: ngày thường = giá thường, cuối tuần = giá cuối tuần, ngày lễ = giá lễ.",High,PENDING
