TC ID,Title,Est. (mins),Test Type,Area,Procedure / Steps,Expected Results,Priority,RESULT
BK_001,Mở màn hình Đoàn khách — kiểm tra bố cục tổng thể,3,Giao diện,Đoàn khách,"1. Mở phần mềm Quản lý Công viên Đại Nam từ desktop.
2. Tại màn hình đăng nhập, nhập tài khoản ""letan01"", mật khẩu ""123456"", nhấn ""Đăng nhập"".
3. Nhấn menu Đoàn khách trên thanh điều hướng.
4. Quan sát bố cục màn hình.","1. Phần mềm khởi động thành công.
2. Đăng nhập thành công, vào trang chính.
3. Màn hình Đoàn khách mở ra.
4. Bố cục gồm: Ô tìm kiếm booking (nhập mã BK-xxx hoặc SĐT), nút Tìm. Panel thông tin đoàn (Tên đoàn, Người đại diện, SĐT, Số lượng, Chiết khấu, Ngày đến, Gói combo). Nhãn trạng thái (hợp lệ/không hợp lệ). Nút ""Xuất Vé"" (mặc định khóa). Vùng hiển thị kết quả xác nhận.",High,PENDING
BK_002,Kiểm tra ô tìm kiếm tự động focus khi mở form,1,Giao diện,Đoàn khách,"1. Mở phần mềm Quản lý Công viên Đại Nam từ desktop.
2. Đăng nhập bằng tài khoản ""letan01"" / ""123456"".
3. Nhấn menu ""Đoàn khách"".
4. Quan sát vị trí con trỏ.","1. Phần mềm khởi động thành công.
2. Đăng nhập thành công.
3. Màn hình Đoàn khách hiển thị.
4. Con trỏ nhập liệu tự động nằm trong ô tìm kiếm booking, sẵn sàng nhận mã hoặc SĐT.",Medium,PENDING
BK_003,Nút Xuất Vé mặc định bị khóa khi chưa tìm booking,1,Giao diện,Đoàn khách,"1. Mở phần mềm Quản lý Công viên Đại Nam từ desktop.
2. Đăng nhập bằng tài khoản ""letan01"" / ""123456"".
3. Nhấn menu ""Đoàn khách"".
4. Quan sát nút Xuất Vé.","1. Phần mềm khởi động thành công.
2. Đăng nhập thành công.
3. Màn hình Đoàn khách hiển thị.
4. Nút ""Xuất Vé"" bị khóa (bị vô hiệu hóa, màu xám), không bấm được.",Medium,PENDING
BK_004,Panel thông tin đoàn trống khi mới mở,1,Giao diện,Đoàn khách,"1. Mở phần mềm Quản lý Công viên Đại Nam từ desktop.
2. Đăng nhập bằng tài khoản ""letan01"" / ""123456"".
3. Nhấn menu ""Đoàn khách"".
4. Quan sát panel thông tin đoàn.","1. Phần mềm khởi động thành công.
2. Đăng nhập thành công.
3. Màn hình Đoàn khách hiển thị.
4. Panel thông tin trống, không hiển thị tên đoàn hay thông tin gì.",Low,PENDING
BK_005,Tìm đoàn bằng mã booking hợp lệ — hiện đúng thông tin,3,Chức năng,Đoàn khách,"1. Mở phần mềm Quản lý Công viên Đại Nam từ desktop.
2. Đăng nhập bằng tài khoản ""letan01"" / ""123456"".
3. Nhấn menu ""Đoàn khách"".
4. Gõ mã ""BK-20260401-001"" vào ô tìm kiếm.
5. Nhấn nút ""Tìm"" hoặc Enter.
6. Quan sát panel thông tin.","1. Phần mềm khởi động thành công.
2. Đăng nhập thành công.
3. Màn hình Đoàn khách hiển thị.
4. Gõ mã booking.
5. Hệ thống tìm thấy.
6. Panel hiện đầy đủ: Tên đoàn (""Công ty XYZ""), Người đại diện (""Nguyễn Văn A""), SĐT (""0901234567""), Số lượng (50 người), Chiết khấu (20%), Ngày đến dự kiến.",Critical,PENDING
BK_006,Tìm đoàn bằng SĐT trưởng đoàn — thành công,3,Chức năng,Đoàn khách,"1. Mở phần mềm Quản lý Công viên Đại Nam từ desktop.
2. Đăng nhập bằng tài khoản ""letan01"" / ""123456"".
3. Nhấn menu ""Đoàn khách"".
4. Gõ SĐT ""0901234567"" vào ô tìm kiếm.
5. Nhấn nút Tìm.
6. Quan sát panel thông tin.","1. Phần mềm khởi động thành công.
2. Đăng nhập thành công.
3. Màn hình Đoàn khách hiển thị.
4. Gõ SĐT.
5. Tìm thấy booking gắn với SĐT này.
6. Panel hiện thông tin đoàn tương ứng.",High,PENDING
BK_007,Tìm mã booking không tồn tại — hiện thông báo lỗi,2,Chức năng,Đoàn khách,"1. Mở phần mềm Quản lý Công viên Đại Nam từ desktop.
2. Đăng nhập bằng tài khoản ""letan01"" / ""123456"".
3. Nhấn menu ""Đoàn khách"".
4. Gõ ""BK-KHONGTONTAI"" vào ô tìm kiếm.
5. Nhấn Tìm.
6. Quan sát phản hồi.","1. Phần mềm khởi động thành công.
2. Đăng nhập thành công.
3. Màn hình Đoàn khách hiển thị.
4. Gõ mã không tồn tại.
5. Hệ thống tìm không ra.
6. Hệ thống hiển thị màn hình Không tìm thấy. Nút Xuất Vé vẫn khóa.",High,PENDING
BK_008,Tìm SĐT không tồn tại — hiện thông báo lỗi,2,Chức năng,Đoàn khách,"1. Mở phần mềm Quản lý Công viên Đại Nam từ desktop.
2. Đăng nhập bằng tài khoản ""letan01"" / ""123456"".
3. Nhấn menu ""Đoàn khách"".
4. Gõ ""0999999999"" (SĐT không có trong hệ thống).
5. Nhấn Tìm.
6. Quan sát.","1. Phần mềm khởi động thành công.
2. Đăng nhập thành công.
3. Màn hình Đoàn khách hiển thị.
4. Gõ SĐT không tồn tại.
5. Tìm không ra.
6. Thông báo ""Không tìm thấy"". Nút Xuất Vé khóa.",High,PENDING
BK_009,Ô tìm kiếm trống — nhấn Tìm — không xảy ra gì,1,Chức năng,Đoàn khách,"1. Mở phần mềm Quản lý Công viên Đại Nam từ desktop.
2. Đăng nhập bằng tài khoản ""letan01"" / ""123456"".
3. Nhấn menu ""Đoàn khách"".
4. Để ô tìm kiếm trống.
5. Nhấn Tìm.
6. Quan sát phản hồi.","1. Phần mềm khởi động thành công.
2. Đăng nhập thành công.
3. Màn hình Đoàn khách hiển thị.
4. Ô tìm trống.
5. Nhấn Tìm.
6. Hệ thống hiển thị cảnh báo yêu cầu nhập mã booking hoặc SĐT. Nút Xuất Vé vẫn khóa.",Low,PENDING
BK_010,Booking hợp lệ (chưa xác nhận + đúng ngày) — nhãn trạng thái xanh + nút Xuất Vé mở,3,Chức năng,Đoàn khách,"1. Mở phần mềm Quản lý Công viên Đại Nam từ desktop.
2. Đăng nhập bằng tài khoản ""letan01"" / ""123456"".
3. Nhấn menu ""Đoàn khách"".
4. Gõ mã booking hợp lệ (chưa xác nhận, chưa hủy, đúng ngày hôm nay).
5. Nhấn Tìm.
6. Quan sát nhãn trạng thái và nút Xuất Vé.","1. Phần mềm khởi động thành công.
2. Đăng nhập thành công.
3. Màn hình Đoàn khách hiển thị.
4. Booking đủ điều kiện hợp lệ.
5. Tìm thấy.
6. Nhãn trạng thái hiện  ""Sẵn sàng xác nhận"" (màu xanh lá). Nút ""Xuất Vé"" mở khóa (nhấn được bình thường), đổi màu nổi bật.",Critical,PENDING
