BTN_KHO_CANHBAO| CẢNH BÁO
BTN_KHO_LICHSU| LỊCH SỬ GIAO DỊCH
BTN_KHO_TAOPHIEU| TẠO / SỬA PHIẾU
BTN_KHO_TONKHO| TỒN KHO HIỆN TẠI
BTN_THEM_NGUYEN_LIEU|Thêm nguyên liệu
CHK_KHO_AO|Là kho ảo (chỉ trên sổ sách)
CHK_TON_AM|Cho phép tồn âm
CHK_VAT_TU|Là vật tư có quản lý tồn kho
COL_DEMTHUCTE|Đếm / Nhập
COL_DVT|ĐVT Gốc
COL_DVT_DICH|ĐVT Đích
COL_KHO_AO|Kho ảo
COL_MA_KHO|Mã kho
COL_NGUYEN_LIEU|Vật tư / Nguyên liệu
COL_TEN_KHO|Tên kho
COL_TONMAY|Tồn Máy
COL_TRANG_THAI|Trạng thái
CTX_HUY_PHIEU|Hủy phiếu
CTX_IN_PHIEU|In phiếu
CTX_MO_PHIEU|Mở phiếu xem chi tiết
CTX_MO_PHIEU_GOC|Mở phiếu gốc
CTX_SAO_CHEP|Sao chép làm phiếu mới
CTX_TAO_PHIEU_XUAT|Tạo phiếu xuất cho SP này
CTX_XEM_TON|Xem tồn kho SP này
CTX_XUAT_EXCEL|Xuất Excel
ERR_CTK_DA_DUYET|Phiếu này đã được duyệt và khóa sổ.
ERR_DUP_CODE|Mã sản phẩm '{0}' đã tồn tại trên hệ thống.
ERR_POS_HET_HANG|Sản phẩm '{0}' đã hết hàng trong kho.
ERR_POS_RFID_KHONGTIMTHAY|Không tìm thấy thẻ RFID '{0}' trên hệ thống.
ERR_POS_RFID_KHONG_DU|Số dư ví RFID không đủ để thanh toán khoản này.
ERR_POS_SP_KHONGTIMTHAY|Không tìm thấy sản phẩm với mã '{0}'.
ERR_POS_TIEN_KHONG_KHOP|Tổng tiền thanh toán chưa khớp với tổng bill. Vui lòng kiểm tra lại.
ERR_REFUND_NO_ITEMS|Vui lòng nhập định mức cần hoàn cho ít nhất 1 sản phẩm!
FILTER_VATTU|Vật Tư
FRM_KHO_TITLE|Quản trị danh mục kho
GRID_COL_DVT|ĐVT
GRID_COL_TRANG_THAI|Trạng Thái
GRP_KHO_CHITIET|Chi Tiết Chứng Từ
GRP_KHO_NGUON|Kho Nguồn (Click đúp để chuyển)
LBL_DVT|Đơn vị tính (*)
LBL_GRID_TITLE_FNB|Định mức nguyên liệu (R&D BOM):
LBL_KHONHAP|Kho Nhập:
LBL_KHOXUAT|Kho Xuất:
LBL_KHO_DSPHIEU|DS PHIẾU GẦN ĐÂY
LBL_KH_TONGCHI|Tổng chi tiêu
LBL_LOAIPHIEU|Loại Phiếu:
LBL_MAPHIEU|Mã Phiếu:
LBL_MA_KHO|Mã kho
LBL_TEN_KHO|Tên kho
LBL_TRANG_THAI|Trạng thái
LBL_TRANG_THAI_KHO|Trạng thái
LOAISP_NGUYENLIEU|Nguyên liệu
MENU_GRP_KHO|Kho & F&B
MENU_ITEM_DANH_MUC_KHO|Danh mục Kho
MENU_ITEM_TRUNG_TAM_KHO|Trung tâm Kho
MSG_CTK_DUYET_OK|Chốt sổ phiếu thành công! Số lượng hàng trong kho đã được thay đổi.
MSG_CTK_LUU_OK|Lưu phiếu kho nháp thành công.
MSG_CTK_XOA_OK|Xoá phiếu thành công.
MSG_GIU_LUU_OK|Xí phần giữ kho thành công
MSG_KHO_LUU_OK|Lưu thông tin kho thành công
MSG_KHO_MUC_TON_OK|Cập nhật cảnh báo tồn kho thành công
MSG_KHO_XOA_OK|Xoá kho thành công
MSG_KH_NHAP_SOTIEN|Nhập số tiền nạp:
MSG_RFID_CHUYEN_OK|Chuyển trạng thái thẻ thành công!
MSG_RFID_KHOA_OK|Khóa thẻ thành công!
NULL_KHONHAP|-- Chọn Kho Nhập --
NULL_KHOXUAT|-- Chọn Kho Xuất --
POS_LBL_TONGTHANHTOAN|TỔNG:
POS_PHIEN_LBL_KHOXUAT|Kho xuất:
POS_PHIEN_LBL_TONGTHU|Tổng thu trong ca:
POS_STATUS_KHO|Kho:
POS_TT_TONGPHAITHU|Tổng phải thu:
PROMPT_TIM_KIEM|Chỉ nhập từ khóa để tìm kiếm...
PTTT_CHUYENKHOAN|Chuyển khoản
TOOLTIP_KHOAO_DESC|Không có vị trí vật lý. Dùng để xử lý trung gian hoặc treo đơn hàng. Không hỗ trợ Tồn Âm.
TOOLTIP_KHOAO_TITLE|Kho Ảo (Tạm)
TOOLTIP_QUANLYLO|Hàng hóa đặc biệt cần kiểm soát Hạn sử dụng (Date) để báo cáo huỷ hỏng. Chỉ áp dụng nếu đã tích [Có Quản Lý Tồn Kho].
TOOLTIP_TONAM_DESC|Kho (như Bếp) có thể xuất hàng trước khi làm phiếu Nhập. Hệ thống sẽ báo tồn kho âm (-) cho đến khi bù hàng.
TOOLTIP_TONAM_TITLE|Cho phép Tồn Âm
TOOLTIP_VATTU|Sản phẩm vật lý tồn tại ngoài đời thực và cần theo dõi xuất-nhập kho (Ví dụ: Nước suối, Đồ lưu niệm).
TXT_ALERT_TON|0 Mặt hàng dưới mức
ERR_CHONKHO|Vui lòng chọn Kho thao tác!
ERR_CHONNGAY|Vui lòng chọn ngày lập phiếu hợp lệ!
MSG_COMBO_TYLE_CHUA_DU|Tổng tỷ lệ phân bổ chưa đạt 100%.\nHệ thống tự động chuyển Combo về 'BanNhap' để đảm bảo an toàn doanh thu.
MSG_DUYETTHANHCONG|Đã phê duyệt phiếu!
MSG_HUYTHANHCONG|Đã hủy phiếu!
MSG_WARN_UNSAVED|Phiếu chưa lưu! Chuyển trang sẽ mất dữ liệu nhập dở. Bạn có tiếp tục?
MSG_XAC_NHAN_XOA|Xác nhận ngưng hoạt động kho này?
