"REQ ID","TC ID","Title","Est. (phút)","Test Type","Area","Precondition","Procedure / Steps","Expected Results","Priority","Result","Change TC","Author","Remark"
"UC_MSTAFF_002","TC_MSTAFF_001","Màn hình Soát vé: Kiểm tra tiêu đề trang","2","UI/UX","1.2 Soát vé cổng","Nhân viên đã đăng nhập thành công.","Bước 1. Mở ứng dụng Staff App.
Bước 2. Đăng nhập tài khoản nhân viên (SĐT: 0901234567, MK: 123456).
Bước 3. Quan sát phía trên cùng của màn hình.","Bước 1. Ứng dụng mở ra màn hình đăng nhập.
Bước 2. Đăng nhập thành công, chuyển vào màn hình chính.
Bước 3. Tiêu đề hiển thị chữ ""Soát vé cổng"" kèm biểu tượng mã QR bên cạnh.","Low","","","Antigravity",""
"UC_MSTAFF_002","TC_MSTAFF_002","Màn hình Soát vé: Kiểm tra dropdown Chọn Khu Vực","2","UI/UX","1.2 Soát vé cổng","Tài khoản nhân viên đang hoạt động. Hệ thống đã khai báo danh sách khu vực.","Bước 1. Mở ứng dụng Staff App.
Bước 2. Đăng nhập tài khoản nhân viên.
Bước 3. Quan sát ô Chọn Khu Vực.","Bước 1. Màn hình đăng nhập hiện ra.
Bước 2. Vào màn hình chính.
Bước 3. Ô Chọn Khu Vực là dạng danh sách thả xuống (Combo Box), mặc định hiển thị chữ ""Chọn Khu Vực"".","Medium","","","Antigravity",""
"UC_MSTAFF_002","TC_MSTAFF_003","Màn hình Soát vé: Kiểm tra dropdown Chọn Trò Chơi","2","UI/UX","1.2 Soát vé cổng","Nhân viên chưa chọn Khu vực.","Bước 1. Mở ứng dụng Staff App.
Bước 2. Đăng nhập tài khoản nhân viên.
Bước 3. Quan sát ô Chọn Trò Chơi.","Bước 1. Màn hình đăng nhập hiện ra.
Bước 2. Vào màn hình chính.
Bước 3. Ô Chọn Trò Chơi mặc định hiển thị chữ ""Chọn Trò Chơi"".","Medium","","","Antigravity",""
"UC_MSTAFF_002","TC_MSTAFF_004","Màn hình Soát vé: Kiểm tra vùng Camera quét mã","2","UI/UX","1.2 Soát vé cổng","Thiết bị di động có camera đang hoạt động.","Bước 1. Mở ứng dụng Staff App.
Bước 2. Đăng nhập tài khoản nhân viên.
Bước 3. Quan sát vùng giữa màn hình.","Bước 1. Màn hình đăng nhập hiện ra.
Bước 2. Vào màn hình chính.
Bước 3. Vùng Camera View tự động bật luồng video, hiển thị hình ảnh từ camera sau của điện thoại.","High","","","Antigravity",""
"UC_MSTAFF_002","TC_MSTAFF_005","Màn hình Soát vé: Kiểm tra ô nhập mã thủ công","2","UI/UX","1.2 Soát vé cổng","Hệ thống đang chạy bình thường.","Bước 1. Mở ứng dụng Staff App.
Bước 2. Đăng nhập tài khoản nhân viên.
Bước 3. Quan sát ô nhập liệu bên dưới vùng camera.","Bước 1. Màn hình đăng nhập hiện ra.
Bước 2. Vào màn hình chính.
Bước 3. Hiển thị ô Text Edit có placeholder là ""Nhập mã vạch thủ công..."".","Medium","","","Antigravity",""
"UC_MSTAFF_002","TC_MSTAFF_006","Màn hình Soát vé: Kiểm tra nút quét thủ công","2","UI/UX","1.2 Soát vé cổng","Ô nhập mã thủ công đang trống.","Bước 1. Mở ứng dụng Staff App.
Bước 2. Đăng nhập tài khoản nhân viên.
Bước 3. Quan sát nút kính lúp bên phải ô nhập mã.","Bước 1. Màn hình đăng nhập hiện ra.
Bước 2. Vào màn hình chính.
Bước 3. Nút kính lúp hiển thị rõ ràng nhưng ở trạng thái mờ đi, không nhấn được do ô nhập đang trống.","Low","","","Antigravity",""
"UC_MSTAFF_002","TC_MSTAFF_007","Soát vé: Chọn khu vực từ danh sách","5","Functional","1.2 Soát vé cổng","Hệ thống đã có khu vực ""Khu Trượt Nước"".","Bước 1. Mở ứng dụng Staff App.
Bước 2. Đăng nhập tài khoản nhân viên.
Bước 3. Nhấn vào ô Chọn Khu Vực.
Bước 4. Chọn giá trị: Khu Trượt Nước.","Bước 1. Màn hình đăng nhập hiện ra.
Bước 2. Vào màn hình chính.
Bước 3. Danh sách các khu vực hiện ra.
Bước 4. Ô hiển thị giá trị đã chọn là ""Khu Trượt Nước"". Danh sách Trò Chơi bên dưới tự động nạp các trò thuộc khu này.","High","","","Antigravity",""
"UC_MSTAFF_002","TC_MSTAFF_008","Soát vé: Nhập mã thủ công và nhấn nút quét","5","Functional","1.2 Soát vé cổng","Đã chọn Khu Vực. Có vé hợp lệ mã: VE12345.","Bước 1. Mở ứng dụng Staff App.
Bước 2. Đăng nhập tài khoản nhân viên.
Bước 3. Chọn Khu Vực là Khu Trượt Nước.
Bước 4. Nhập vào ô mã thủ công giá trị: VE12345.
Bước 5. Nhấn nút kính lúp (quét thủ công).","Bước 1. Màn hình đăng nhập hiện ra.
Bước 2. Vào màn hình chính.
Bước 3. Khu vực được chọn.
Bước 4. Mã VE12345 hiện trong ô.
Bước 5. Hệ thống gửi yêu cầu xác thực, hiển thị kết quả PASS trên nền xanh lá.","High","","","Antigravity",""
"UC_MSTAFF_002","TC_MSTAFF_009","Soát vé: Nhập mã thủ công và nhấn Enter","5","Functional","1.2 Soát vé cổng","Đã chọn Khu Vực. Có vé hợp lệ mã: VE12345.","Bước 1. Mở ứng dụng Staff App.
Bước 2. Đăng nhập tài khoản nhân viên.
Bước 3. Chọn Khu Vực là Khu Trượt Nước.
Bước 4. Nhập vào ô mã thủ công giá trị: VE12345.
Bước 5. Nhấn phím Enter trên bàn phím điện thoại.","Bước 1. Màn hình đăng nhập hiện ra.
Bước 2. Vào màn hình chính.
Bước 3. Khu vực được chọn.
Bước 4. Mã VE12345 hiện trong ô.
Bước 5. Hệ thống gửi yêu cầu, hiển thị kết quả PASS kèm tên vé và số lượt còn lại.","High","","","Antigravity",""
"UC_MSTAFF_002","TC_MSTAFF_010","Soát vé: Quét mã QR hợp lệ qua Camera","5","Functional","1.2 Soát vé cổng","Có vé QR hợp lệ mã: QR99999. Đã chọn đúng khu vực.","Bước 1. Mở ứng dụng Staff App.
Bước 2. Đăng nhập tài khoản nhân viên.
Bước 3. Chọn Khu Vực tương ứng với vé.
Bước 4. Đưa camera điện thoại hướng vào mã QR99999 của khách hàng.","Bước 1. Màn hình đăng nhập hiện ra.
Bước 2. Vào màn hình chính.
Bước 3. Khu vực được chọn.
Bước 4. Camera nhận diện được mã, tự động gửi yêu cầu mà không cần nhấn nút, hiển thị kết quả PASS màu xanh lá.","High","","","Antigravity",""
