POS_TAB_FNB|F&&B
BTN_KH_MO_THE|Mở thẻ
BTN_KH_NAP_TIEN|Nạp tiền ví
BTN_THEM_DONG|+ Thêm dòng
BTN_THEM_NGUYEN_LIEU|Thêm nguyên liệu
BacSilver|Bạc
CHK_ALL_POS|Áp dụng cho tất cả điểm bán
CHK_DI_UNG|Món ăn chứa thành phần dễ bề dị ứng
CHK_LO|Có quản lý hạn sử dụng (Lô)
COL_DEMTHUCTE|Đếm / Nhập
COL_DVT|ĐVT Gốc
COL_DVT_DICH|ĐVT Đích
COL_GIABAN|Giá bán
COL_GIAPHUTHU|Giá phụ thu
COL_HESO|Hệ số quy đổi
COL_HIEULUC_DEN|Hiệu lực đến
COL_HIEULUC_TU|Hiệu lực từ
COL_LECH|Lệch
COL_LOAIGIA|Phân loại
COL_MAHANG|Mã Hàng
COL_MA_KHU_VUC|Mã KV
COL_NGUYEN_LIEU|Vật tư / Nguyên liệu
COL_PHUTBLOCK|Block (phút)
COL_PHUTTIEP|Phút tiếp
COL_TENHANG|Tên Hàng
COL_TEN_KHU_VUC|Tên khu vực
COL_TIENCOC|Tiền cọc
COL_TONMAY|Tồn Máy
CTX_CHEN_DONG|Chèn dòng mới
CTX_HUY_PHIEU|Hủy phiếu
CTX_IN_PHIEU|In phiếu
CTX_MO_PHIEU|Mở phiếu xem chi tiết
CTX_MO_PHIEU_GOC|Mở phiếu gốc
CTX_SAO_CHEP|Sao chép làm phiếu mới
CTX_SAO_DONG|Sao chép dòng
CTX_TAO_PHIEU_XUAT|Tạo phiếu xuất cho SP này
CTX_THIET_LAP_MUC_CB|Thiết lập mức cảnh báo
CTX_XEM_LICHSU|Xem lịch sử SP này
CTX_XOA_DONG|Xóa dòng này
CTX_XUAT_EXCEL|Xuất Excel
CUST_BTN_CLEAR|Bỏ
CUST_BTN_SEARCH|Tìm
CUST_LBL_POINTS|điểm
CUST_SEARCH_HINT|SĐT / Mã KH / Quét RFID...
ERR_COMBO_CHUA_LUU|Vui lòng Lưu Combo trước!
ERR_CTK_DA_DUYET|Phiếu này đã được duyệt và khóa sổ.
ERR_DUP_CODE|Mã sản phẩm '{0}' đã tồn tại trên hệ thống.
ERR_EMPTY_CODE|Mã sản phẩm không được bỏ trống.
ERR_EMPTY_NAME|Tên sản phẩm không được bỏ trống.
ERR_EMPTY_TYPE|Vui lòng chọn loại sản phẩm.
ERR_EMPTY_UNIT|Vui lòng chọn đơn vị tính.
ERR_LOHANG_TEN_RONG|Tên lô hàng không được để trống
ERR_PHANQUYEN_FAIL|Cập nhật thất bại. Vui lòng thử lại!
ERR_POS_CHUA_MO_PHIEN|Chưa mở phiên thu ngân. Vui lòng mở phiên trước khi bán hàng.
ERR_POS_GIO_RONG|Giỏ hàng đang trống, không có gì để thanh toán.
ERR_POS_PHIEN_DANG_MO|Máy POS này đang có phiên mở bởi người khác.
ERR_POS_RFID_KHONGTIMTHAY|Không tìm thấy thẻ RFID '{0}' trên hệ thống.
ERR_POS_RFID_KHONG_DU|Số dư ví RFID không đủ để thanh toán khoản này.
ERR_POS_SOLUONG_AM|Số lượng phải lớn hơn 0.
ERR_POS_SP_KHONGTIMTHAY|Không tìm thấy sản phẩm với mã '{0}'.
ERR_POS_TIEN_KHONG_KHOP|Tổng tiền thanh toán chưa khớp với tổng bill. Vui lòng kiểm tra lại.
ERR_REFUND_NO_ITEMS|Vui lòng nhập định mức cần hoàn cho ít nhất 1 sản phẩm!
ERR_TICKET_NO_GATE|Sản phẩm loại Vé bắt buộc thiết lập ít nhất 1 quyền quẹt thẻ.
FILTER_ALL|Tất cả
FILTER_CHOTHUE|Cho Thuê
FILTER_DOAN|Đồ Ăn
FILTER_DOUONG|Đồ Uống
FILTER_LUUTRU|Lưu Trú
