Defect ID,Title,Screen,Pre-condition,Steps,Test Data,Expected Results,Actual Results,Priority,Severity,Date,Owner,TC ID,Build,System,Assign To,Status
DEF_POS_001,Đổi ĐVT từ Lon sang Thùng — giá tự quy đổi,Màn hình Bán hàng,Đăng nhập thành công. Giỏ hàng có 1 sản phẩm (VD: Cơm phần x 2).,"1. Mở phần mềm Quản lý Công viên Đại Nam từ desktop.
2. Đăng nhập bằng tài khoản ""thungan01"" / ""123456"".
3. Nhấn menu ""Bán hàng"".
4. Double-click vào ""Nước ngọt lon"".
5. Trong giỏ, click vào ô ĐVT, chọn ""Thùng"" từ danh sách xổ xuống.
6. Quan sát ĐVT, giá, và tổng tiền.",Cơm phần SL = 0,"1. Phần mềm khởi động thành công.
2. Đăng nhập thành công, vào trang chính.
3. Màn hình Bán hàng hiển thị.
4. Giỏ: ""Nước ngọt lon"", ĐVT=""Lon"", SL=1, giá = giá lẻ 1 lon.
5. Chọn ""Thùng"" thành công.
6. ĐVT hiện ""Thùng"". Giá tự thay đổi sang giá theo Thùng (cao hơn giá lẻ). Thành Tiền cập nhật. SL vẫn = 1 (nhưng giờ là 1 Thùng). Tổng tiền phía dưới cập nhật.","Hệ thống vẫn hiện popup xác nhận với Tổng đơn = 0 VNĐ. Nếu nhấn Có, tạo đơn hàng 0đ trong cơ sở dữ liệu, lãng phí mã đơn.",High,Major,2026-04-10,QA_NhiNT,POS_035,v3.1.0,WinForms C#,DEV_NhiNT,Open
DEF_POS_002,Hiển thị chiết khấu VVIP (-25%) trên nhãn KH,Màn hình Bán hàng,Đăng nhập thành công. Giỏ hàng có hàng. Chưa quẹt thẻ RFID.,"1. Mở phần mềm Quản lý Công viên Đại Nam từ desktop.
2. Đăng nhập bằng tài khoản ""thungan01"" / ""123456"".
3. Nhấn menu ""Bán hàng"".
4. Gõ mã KH hạng VVIP (VD: ""KH002""), nhấn Tìm.
5. Quan sát nhãn tên KH.",Giỏ có hàng nhưng chưa quẹt RFID,"1. Phần mềm khởi động thành công.
2. Đăng nhập thành công, vào trang chính.
3. Màn hình Bán hàng hiển thị.
4. Tìm thấy KH hạng VVIP.
5. Nhãn hiển thị: ""Trần Thị B [VVIP -25%]"". Phần trăm 25% đúng theo quy định (VVIP = 25%).",Hệ thống bị văng do cố gắng truy xuất thông tin khách hàng khi chưa quẹt thẻ.,Critical,Critical,2026-04-10,QA_NhiNT,POS_050,v3.1.0,WinForms C#,DEV_NhiNT,Open
DEF_POS_003,Thanh toán Chuyển khoản — không bắt buộc quét KH,Màn hình Bán hàng,Đăng nhập thành công. Khách VIP (chiết khấu 10%). Giỏ có cả vé lẫn F&B.,"1. Mở phần mềm Quản lý Công viên Đại Nam từ desktop.
2. Đăng nhập bằng tài khoản ""thungan01"" / ""123456"".
3. Nhấn menu ""Bán hàng"".
4. Double-click ""Vé Người lớn"" vào giỏ.
5. KHÔNG tìm KH (để ""Khách vãng lai"").
6. Nhấn F11 (Chuyển khoản).
7. Hộp thoại xác nhận hiện, nhấn ""Có"".
8. Quan sát kết quả.",Vé 200K + Cơm 22.5K. KH VIP 10%,"1. Phần mềm khởi động thành công.
2. Đăng nhập thành công, vào trang chính.
3. Màn hình Bán hàng hiển thị.
4. Giỏ có Vé.
5. Khách vãng lai — không bắt buộc.
6. Hộp thoại xác nhận: phương thức = Chuyển khoản. Không yêu cầu quét KH (khác với Ví RFID).
7. Nhấn ""Có"".
8. Tạo hóa đơn thành công. Giỏ reset, nhãn KH về Khách vãng lai.",Giảm áp cho cả F&B lẫn Vé: (200K + 22.5K) x 10% = 22.250d. Tổng = 200.250d. Thiếu 2K doanh thu F&B.,Medium,Major,2026-04-10,QA_NhiNT,POS_067,v3.0.0,WinForms C#,DEV_NhiNT,Fixed
DEF_POS_004,Quét mã Booking Đoàn (BK-xxx) — hiện thông tin quota,Màn hình Bán hàng,Đăng nhập thành công. Combo Set Ăn Trưa gồm: 1 Cơm + 1 Nước. Tồn kho Cơm = 100.,"1. Mở phần mềm Quản lý Công viên Đại Nam từ desktop.
2. Đăng nhập bằng tài khoản ""thungan01"" / ""123456"".
3. Nhấn menu ""Bán hàng"".
4. Gõ ""BK-TEST01"" (mã booking đoàn) vào ô quét mã, nhấn Enter.
5. Quan sát phản hồi.",Combo chứa Cơm x1. Tồn trước = 100.,"1. Phần mềm khởi động thành công.
2. Đăng nhập thành công, vào trang chính.
3. Màn hình Bán hàng hiển thị.
4. Hệ thống nhận diện đây là mã Booking (bắt đầu bằng ""BK-""), không phải mã SP.
5. Hộp thoại hiển thị thông tin đoàn: Tên đoàn, danh sách suất ăn/dịch vụ còn lại (VD: ""Suất ăn trưa: còn 20/30""), hỏi ""Thêm 1 suất vào giỏ?"" (Có/Không).",Tồn kho Cơm phần vẫn = 100. Combo không trừ tồn kho cho từng thành phần bên trong.,High,Major,2026-04-11,QA_NhiNT,POS_078,v3.1.0,WinForms C#,DEV_NhiNT,Open
DEF_POS_005,Giá sản phẩm trên thẻ Tile phụ thuộc ngày (Bảng giá Dynamic),Màn hình Bán hàng,Đăng nhập thành công. Sản phẩm mới tạo chưa có giá trong bảng giá.,"1. Mở phần mềm Quản lý Công viên Đại Nam từ desktop.
2. Đăng nhập bằng tài khoản ""thungan01"" / ""123456"".
3. Nhấn menu ""Bán hàng"".
4. Quan sát giá hiển thị trên thẻ của Vé Người lớn.
5. So sánh với bảng giá đã cấu hình cho hôm nay (Ngày thường / Cuối tuần / Ngày lễ).",SP mới chưa có giá,"1. Phần mềm khởi động thành công.
2. Đăng nhập thành công, vào trang chính.
3. Màn hình Bán hàng hiển thị.
4. Giá trên thẻ hiển thị đúng giá theo ngày — nếu hôm nay là ngày thường thì giá thường, cuối tuần thì giá cuối tuần, ngày lễ thì giá lễ.
5. Giá khớp với bảng giá đã cấu hình trong hệ thống.","SP hiện 0đ trong danh sách, thêm giỏ bình thường. Thanh toán tổng 0đ, mất hàng không thu tiền.",Medium,Major,2026-04-10,QA_NhiNT,POS_014,v3.1.0,WinForms C#,DEV_NhiNT,Open
DEF_POS_006,Thanh toán với KH VVIP + KM sự kiện + Có điểm — popup xác nhận hiện đủ thông tin,Màn hình Bán hàng,Đăng nhập thành công. Giỏ hàng có hàng. RFID đã quẹt.,"1. Mở phần mềm Quản lý Công viên Đại Nam từ desktop.
2. Đăng nhập bằng tài khoản ""thungan01"" / ""123456"".
3. Nhấn menu ""Bán hàng"".
4. Tìm KH VVIP có điểm tích lũy.
5. Thêm Vé + Cơm phần vào giỏ (đủ ngưỡng KM sự kiện).
6. Nhấn F9.
7. Nếu hỏi dùng điểm -> chọn ""Không"".
8. Quan sát hộp thoại xác nhận cuối.",Giỏ có hàng. RFID gắn.,"1. Phần mềm khởi động thành công.
2. Đăng nhập thành công.
3. Màn hình Bán hàng hiển thị.
4. KH VVIP gắn.
5. Giỏ có Vé + F&B, tổng đủ ngưỡng KM.
6. Nhấn F9.
7. Chọn không dùng điểm.
8. Hộp thoại xác nhận ghi đầy đủ: Tổng đơn, dòng giảm giá (nguồn: KM sự kiện hoặc VIP — cái nào lớn hơn), Thanh toán thực tế, Phương thức, Số mặt hàng, Tích thêm bao nhiêu điểm. Chiết khấu CHỈ tính trên Vé, không tính trên Cơm phần.",Tạo 2 đơn hàng giống nhau trong cơ sở dữ liệu. Ví bị trừ 2 lần. Khách mất tiền gấp đôi.,Critical,Critical,2026-04-11,QA_NhiNT,POS_088,v3.1.0,WinForms C#,DEV_NhiNT,Open
DEF_POS_007,"Lọc sản phẩm theo phân loại ""Vé""",Màn hình Bán hàng,Đăng nhập thành công. Danh sách SP có Nước suối 500ml.,"1. Mở phần mềm Quản lý Công viên Đại Nam từ desktop.
2. Đăng nhập bằng tài khoản ""thungan01"" / ""123456"".
3. Nhấn menu ""Bán hàng"" trên thanh điều hướng bên trái.
4. Nhấn nút phân loại ""Vé"" trên thanh danh mục.
5. Quan sát danh sách sản phẩm.","Gõ ""nuoc suoi"" (không dấu)","1. Phần mềm khởi động thành công.
2. Đăng nhập thành công, vào trang chính.
3. Màn hình Bán hàng hiển thị với đầy đủ sản phẩm.
4. Nút ""Vé"" nổi bật (đổi màu, chữ trắng), các nút khác trở về bình thường.
5. Danh sách chỉ hiển thị các sản phẩm loại Vé. Đồ ăn uống, đồ thuê không xuất hiện.",Danh sách sản phẩm trống. Chỉ tìm chính xác có dấu. Nhân viên phải gõ đúng dấu mới ra kết quả.,Low,Minor,2026-04-10,QA_NhiNT,POS_008,v3.1.0,WinForms C#,DEV_NhiNT,Open
DEF_POS_008,Quét file ảnh có mã vạch,Màn hình Bán hàng,"Đăng nhập thành công. KH VIP chiết khấu 10%. Đơn gốc 500K, thực thu 450K.","1. Mở phần mềm Quản lý Công viên Đại Nam từ desktop.
2. Đăng nhập bằng tài khoản ""thungan01"" / ""123456"".
3. Nhấn menu ""Bán hàng"".
4. Nhấn nút ""Quét file"".
5. Chọn 1 file ảnh có chứa mã vạch SP hợp lệ.
6. Quan sát phản hồi.","Tổng gốc 500K, CK 50K, thực thu 450K","1. Phần mềm khởi động thành công.
2. Đăng nhập thành công.
3. Màn hình Bán hàng hiển thị.
4. Hộp thoại chọn file mở ra.
5. Chọn ảnh có mã vạch.
6. Nếu đọc được mã -> SP tương ứng thêm vào giỏ. Nếu không đọc được -> thông báo lỗi.","Trong một số trường hợp ngoại lệ khi dùng điểm, tiền giảm tính lệch làm số điểm tích lũy cao hơn thực tế.",Low,Minor,2026-04-11,QA_NhiNT,POS_095,v3.1.0,WinForms C#,DEV_NhiNT,Open
DEF_POS_009,SP có quy đổi đơn vị — cột ĐVT hiển thị dropdown khi click,Màn hình Bán hàng,Đăng nhập thành công. SP Nước ngọt có quy đổi: Lon -> Thùng (24 lon).,"1. Mở phần mềm Quản lý Công viên Đại Nam từ desktop.
2. Đăng nhập bằng tài khoản ""thungan01"" / ""123456"".
3. Nhấn menu ""Bán hàng"".
4. Double-click vào ""Nước ngọt lon"" (SP có cấu hình nhiều đơn vị: Lon, Thùng, Lốc).
5. Trong giỏ, click vào ô cột ĐVT của dòng ""Nước ngọt lon"".
6. Quan sát ô ĐVT.",Nước ngọt. DVT Lon -> Thùng,"1. Phần mềm khởi động thành công.
2. Đăng nhập thành công, vào trang chính.
3. Màn hình Bán hàng hiển thị.
4. ""Nước ngọt lon"" xuất hiện trong giỏ, ĐVT mặc định = ""Lon"".
5. Click vào ô ĐVT -> hiện danh sách xổ xuống gồm: ""Lon"", ""Thùng"", ""Lốc"" (tùy cấu hình).
6. Cho phép chọn đơn vị khác.",Cột ĐVT hiện mã số (VD: 3) thay vì tên Thùng. Nhân viên không biết đang bán theo đơn vị nào.,Medium,Minor,2026-04-10,QA_NhiNT,POS_033,v3.1.0,WinForms C#,DEV_NhiNT,Open
DEF_POS_010,[BUG ĐÃ FIX] Đổi ĐVT từ Lon sang Thùng khi SL lớn — bị chặn và hoàn lại,Màn hình Bán hàng,Đăng nhập thành công. Vừa thanh toán xong 1 đơn.,"1. Mở phần mềm Quản lý Công viên Đại Nam từ desktop.
2. Đăng nhập bằng tài khoản ""thungan01"" / ""123456"".
3. Nhấn menu ""Bán hàng"".
4. Double-click vào ""Nước ngọt lon"" (tồn kho 500 lon).
5. Sửa SL = 100 (100 lon < 500, hợp lệ).
6. Đổi ĐVT sang ""Thùng"" (1 Thùng = 24 lon). Lúc này 100 Thùng = 2400 lon > 500 tồn.
7. Quan sát phản hồi.",Sau thanh toán thành công,"1. Phần mềm khởi động thành công.
2. Đăng nhập thành công, vào trang chính.
3. Màn hình Bán hàng hiển thị.
4. Giỏ: ""Nước ngọt lon"" ĐVT=""Lon"" SL=1.
5. SL = 100, hợp lệ (100 < 500).
6. Đổi sang ""Thùng"" -> hệ thống tính: 100 × 24 = 2400 > 500 tồn.
7. Hộp thoại cảnh báo: ""Tồn kho không đủ để đáp ứng 100 Thùng (tổng = 2400)!"" hiển thị. ĐVT tự động quay về ""Lon"". Giá trở lại giá lẻ. SL vẫn = 100. Hệ thống CẤM đổi đơn vị khi sẽ gây vượt kho.","Con trỏ chuột bị dừng sai vị trí ở nút thanh toán. Nhân viên phải click tay vào ô quét mã, làm chậm quy trình.",Low,Minor,2026-04-10,QA_NhiNT,POS_042,v3.1.0,WinForms C#,DEV_NhiNT,Open
